collection_id,submit_time,end_time,duration_sec,scheduling_class,priority,job_type,terminal_type,num_tasks,avg_cpu_request,avg_mem_request,total_cpu_request,total_mem_request
127278751220,0,,,3,200,service,,2,0.0,0.0782470703125,0.0,0.5477294921875
695169719493,0,,,3,200,service,,1,0.00566864013671875,0.0013027191162109375,0.03968048095703125,0.009119033813476562
726622873217,0,,,2,115,service,,1,0.0014176368713378906,0.0013415813446044922,0.0056705474853515625,0.005366325378417969
135990665136,0,,,3,200,service,,7,0.03167724609375,0.003894805908203125,0.76025390625,0.093475341796875
774473781877,0,22812396699,22812.396699,1,200,service,6,1,0.00022029876708984375,0.0013027191162109375,0.00022029876708984375,0.0013027191162109375
263042252653,0,,,3,360,service,,3,0.0115509033203125,0.00269317626953125,1.0973358154296875,0.25585174560546875
80235429966,0,,,3,200,service,,15,0.00762176513671875,0.002605438232421875,0.41919708251953125,0.14329910278320312
400064725394,0,,,3,200,service,,3,0.004835394925849382,0.0023914603299872825,0.20792198181152344,0.10283279418945312
17602998320,0,,,2,200,service,,6,0.00044664843329067885,0.0005601356769430226,0.012952804565429688,0.016243934631347656
742343519167,0,,,3,200,service,,3,0.004656201317196801,0.002361297607421875,0.19556045532226562,0.09917449951171875
774697328056,0,67583664956,67583.664956,3,200,service,6,1,0.09716796875,0.02618408203125,0.09716796875,0.02618408203125
774210546344,0,,,3,200,service,,1,0.0016727447509765625,0.0007457733154296875,0.003345489501953125,0.001491546630859375
690038832765,0,,,3,200,service,,3,0.008731100294325087,0.009955830044216579,0.07857990264892578,0.08960247039794922
142610571897,0,1093224264684,1093224.264684,2,360,service,6,1,0.033782958984375,0.008453369140625,0.06756591796875,0.01690673828125
132447003813,0,1093226565937,1093226.565937,2,360,service,6,1,0.04456787109375,0.024166870117187503,0.22283935546875,0.1208343505859375
675369027896,0,,,3,200,service,,3,0.005080329047309028,0.002513885498046875,0.0914459228515625,0.04524993896484375
774814525750,0,,,3,200,service,,4,0.016204833984375,0.002605438232421875,0.129638671875,0.020843505859375
774238530371,0,,,2,119,service,,1,0.00096893310546875,0.00521087646484375,0.00096893310546875,0.00521087646484375
753828781286,0,1132631685012,1132631.685012,3,200,service,6,3,0.00864304436577691,0.004314846462673611,0.07778739929199219,0.0388336181640625
774103105710,0,,,2,200,service,,1,0.00035190582275390625,0.00128173828125,0.00035190582275390625,0.00128173828125
18411564197,0,,,3,200,service,,50,0.26181554584251127,0.0152989862248761,59.43212890625,3.472869873046875
629495604880,0,,,0,200,service,,1,0.0003143038068498884,0.0003833770751953125,0.0044002532958984375,0.005367279052734375
167678749117,0,,,0,200,service,,1,0.00029926300048828126,0.0003803253173828125,0.0014963150024414062,0.0019016265869140625
748421887435,0,,,1,115,batch,,1,0.0012192726135253906,0.0011467933654785156,0.0048770904541015625,0.0045871734619140625
728207230913,0,,,2,200,service,,1,0.0020464942568824405,0.0018018086751302083,0.04297637939453125,0.037837982177734375
774615273953,0,6415300439,6415.300439,1,119,batch,6,1,0.0005283355712890625,0.001094818115234375,0.0005283355712890625,0.001094818115234375
749856761500,0,117816535247,117816.535247,3,119,service,6,1,0.00566864013671875,0.0104217529296875,0.00566864013671875,0.0104217529296875
774710363176,0,,,0,0,batch,,2,0.0137786865234375,0.003253936767578125,24.057586669921875,5.681373596191406
163398694886,0,,,3,200,service,,110,0.01666307763049477,0.00488115611829256,5.06557559967041,1.4838714599609375
221192807113,0,,,2,200,service,,10,0.00438380241394043,0.0027298132578531895,0.42084503173828125,0.26206207275390625
166061420502,0,,,3,200,service,,1,0.0008802413940429688,0.0013599395751953125,0.0140838623046875,0.021759033203125
754794770407,0,,,2,200,service,,1,0.003423265071899384,0.00037634290588496605,12.423028945922852,1.365748405456543
510559297699,0,,,3,119,service,,1,0.00566864013671875,0.0013027191162109375,0.6859054565429688,0.15762901306152344
440515366758,0,,,3,119,service,,1,0.00566864013671875,0.0013027191162109375,0.6915740966796875,0.15893173217773438
345691909101,0,,,0,360,service,,1,0.00035190582275390625,0.0004987716674804688,0.0007038116455078125,0.0009975433349609375
225006182339,0,,,1,200,service,,2,0.002370561872209821,0.05678013392857143,0.0331878662109375,0.794921875
102613795595,0,,,3,450,service,,1,0.0143585205078125,0.00522613525390625,0.0143585205078125,0.00522613525390625
695763244385,0,,,0,103,batch,,2000,0.00440216064453125,0.003253936767578125,17.379730224609375,12.846542358398438
771086688527,0,,,2,103,service,,1,0.008197702680315291,0.002071380615234375,0.5738391876220703,0.14499664306640625
74981105667,0,,,3,200,service,,2,0.01567840576171875,0.004825592041015625,0.188140869140625,0.0579071044921875
704714731450,0,,,3,200,service,,1,0.00566864013671875,0.0016498565673828125,0.0113372802734375,0.003299713134765625
156460272976,0,,,3,360,service,,1,0.00035190582275390625,0.0004476819719587053,0.0024633407592773438,0.0031337738037109375
769667193823,0,,,2,115,service,,1,0.011834716796875,0.04432373046875,0.059173583984375,0.22161865234375
696073401885,0,,,3,25,service,,3,0.0008054563905348325,0.0003958450917880062,0.7982072830200195,0.39228248596191406
773850873396,0,,,2,200,service,,1,0.00566864013671875,0.00262451171875,0.00566864013671875,0.00262451171875
95575641836,0,,,3,200,service,,3,0.014556884765625,0.0131378173828125,0.393035888671875,0.3547210693359375
773711857318,0,,,2,200,service,,1,0.002025604248046875,0.0042877197265625,0.002025604248046875,0.0042877197265625
370205431167,0,,,2,119,service,,1,0.0008366902669270834,0.0020109812418619795,0.00251007080078125,0.0060329437255859375
93575179577,0,,,3,200,service,,12,0.0325221011513158,0.0131683349609375,1.23583984375,0.500396728515625
774210532550,0,,,3,200,service,,12,0.00440216064453125,0.0007734298706054688,0.06603240966796875,0.011601448059082031
126873744886,0,,,3,360,service,,1,0.0032469431559244795,0.0020685195922851562,0.019481658935546875,0.012411117553710938
124587196058,0,,,3,200,service,,6,0.0081024169921875,0.002681732177734375,0.405120849609375,0.13408660888671875
132447003719,0,1093220901154,1093220.901154,2,360,service,6,1,0.02227783203125,0.005115509033203125,0.0445556640625,0.01023101806640625
774824456731,0,1137113069,1137.113069,1,119,batch,6,1,0.00131988525390625,0.0004892349243164062,0.00131988525390625,0.0004892349243164062
17623278201,0,,,3,200,service,,1,0.00035190582275390625,0.00031661987304687505,0.0024633407592773438,0.002216339111328125
774469634179,0,,,3,200,service,,3,0.004592201926491478,0.0025055625221946025,0.05051422119140625,0.027561187744140625
