timestep,net_demand_normalized,net_demand_mw
0,0.8197828,5225.4536
1,0.81936455,5222.7876
2,0.818755,5218.902
3,0.8179555,5213.806
4,0.8169682,5207.5127
5,0.81579566,5200.039
6,0.81444144,5191.4067
7,0.81290936,5181.641
8,0.8112042,5170.772
9,0.80933106,5158.8325
10,0.8072959,5145.86
11,0.8051051,5131.895
12,0.8027654,5116.982
13,0.8002657,5101.048
14,0.79763246,5084.263
15,0.794874,5066.68
16,0.79199904,5048.3545
17,0.7890166,5029.3438
18,0.785936,5009.7075
19,0.782767,4989.508
20,0.7795194,4968.8066
21,0.7762032,4947.669
22,0.77282876,4926.1597
23,0.7694064,4904.3447
24,0.76594645,4882.2905
25,0.7624608,4860.0728
26,0.75895864,4837.749
27,0.7554503,4815.3857
28,0.75194615,4793.05
29,0.7484565,4770.806
30,0.74499136,4748.7188
31,0.7415609,4726.852
32,0.7381747,4705.2676
33,0.73484236,4684.027
34,0.7315733,4663.189
35,0.72837645,4642.812
36,0.7252606,4622.951
37,0.7225697,4605.799
38,0.7199765,4589.2686
39,0.7174887,4573.4116
40,0.71511406,4558.275
41,0.7128596,4543.9043
42,0.71073204,4530.3433
43,0.70873797,4517.633
44,0.7068835,4505.8115
45,0.70517427,4494.9165
46,0.70361567,4484.982
47,0.70221275,4476.0396
48,0.7009701,4468.1187
49,0.7000365,4462.1675
50,0.69927144,4457.291
51,0.6986785,4453.511
52,0.6982609,4450.8496
53,0.69802165,4449.3247
54,0.69796324,4448.952
55,0.698088,4449.7476
56,0.6983978,4451.722
57,0.6988943,4454.887
58,0.6995788,4459.2505
59,0.7004524,4464.819
60,0.70151573,4471.5967
61,0.70260864,4478.563
62,0.7038918,4486.742
63,0.7053652,4496.134
64,0.70702827,4506.7344
65,0.70888036,4518.54
66,0.71092045,4531.544
67,0.7131473,4545.7383
68,0.71555924,4561.113
69,0.7181546,4577.656
70,0.7209311,4595.354
71,0.7238864,4614.1914
72,0.7270178,4634.1514
73,0.73060334,4657.0063
74,0.73435867,4680.944
