timestep,net_demand_normalized,net_demand_mw
0,0.7838864,32350.0
1,0.7825738,32295.834
2,0.78126127,32241.666
3,0.7799488,32187.5
4,0.7786362,32133.334
5,0.77732366,32079.166
6,0.77601117,32025.0
7,0.7746986,31970.834
8,0.77338606,31916.666
9,0.7720735,31862.5
10,0.770761,31808.334
11,0.76944846,31754.166
12,0.7681359,31700.0
13,0.7658703,31606.5
14,0.76360464,31513.0
15,0.761339,31419.5
16,0.7590734,31326.0
17,0.75680774,31232.5
18,0.7545421,31139.0
19,0.7522765,31045.5
20,0.75001085,30952.0
21,0.7477452,30858.5
22,0.7454795,30765.0
23,0.7432139,30671.5
24,0.74094826,30578.0
25,0.7357688,30364.25
26,0.73058933,30150.5
27,0.72540987,29936.75
28,0.7202304,29723.0
29,0.71505094,29509.25
30,0.7098715,29295.5
31,0.704692,29081.75
32,0.69951254,28868.0
33,0.6943331,28654.25
34,0.6891536,28440.5
35,0.68397415,28226.75
36,0.6787947,28013.0
37,0.6731064,27778.25
38,0.66741806,27543.5
39,0.6617297,27308.75
40,0.6560414,27074.0
41,0.6503531,26839.25
42,0.64466476,26604.5
43,0.6389764,26369.75
44,0.6332881,26135.0
45,0.6275998,25900.25
46,0.62191147,25665.5
47,0.6162231,25430.75
48,0.6105348,25196.0
49,0.6061428,25014.75
50,0.6017509,24833.5
51,0.59735894,24652.25
52,0.59296703,24471.0
53,0.58857507,24289.75
54,0.5841831,24108.5
55,0.5797912,23927.25
56,0.5753992,23746.0
57,0.5710073,23564.75
58,0.56661534,23383.5
59,0.5622234,23202.25
60,0.55783147,23021.0
61,0.5564866,22965.5
62,0.55514175,22910.0
63,0.55379695,22854.5
64,0.5524521,22799.0
65,0.5511072,22743.5
66,0.54976237,22688.0
67,0.54841757,22632.5
68,0.5470727,22577.0
69,0.54572785,22521.5
70,0.54438305,22466.0
71,0.5430382,22410.5
72,0.54169333,22355.0
73,0.5399406,22282.666
74,0.53818786,22210.334
75,0.5364351,22138.0
76,0.5346824,22065.666
77,0.53292966,21993.334
78,0.5311769,21921.0
79,0.52942413,21848.666
80,0.5276714,21776.334
81,0.52591866,21704.0
82,0.5241659,21631.666
83,0.5224132,21559.334
84,0.52066046,21487.0
85,0.5194045,21435.166
86,0.5181485,21383.334
87,0.5168925,21331.5
88,0.5156365,21279.666
89,0.5143805,21227.834
90,0.51312447,21176.0
91,0.5118685,21124.166
92,0.5106125,21072.334
93,0.5093565,21020.5
94,0.5081005,20968.666
95,0.5068445,20916.834
96,0.50558853,20865.0
97,0.5054573,20859.584
98,0.50532603,20854.166
99,0.5051948,20848.75
100,0.50506353,20843.334
101,0.5049322,20837.916
102,0.504801,20832.5
103,0.5046697,20827.084
104,0.5045385,20821.666
105,0.5044072,20816.25
106,0.504276,20810.834
107,0.5041447,20805.416
108,0.5040135,20800.0
109,0.50543505,20858.666
110,0.5068566,20917.334
111,0.5082782,20976.0
112,0.50969976,21034.666
113,0.51112133,21093.334
114,0.51254296,21152.0
115,0.51396453,21210.666
116,0.5153861,21269.334
117,0.5168077,21328.0
118,0.51822925,21386.666
119,0.5196508,21445.334
120,0.5210724,21504.0
121,0.5242487,21635.084
122,0.52742505,21766.166
123,0.5306014,21897.25
124,0.5337777,22028.334
125,0.53695405,22159.416
126,0.54013044,22290.5
127,0.54330677,22421.584
128,0.5464831,22552.666
129,0.54965943,22683.75
130,0.55283576,22814.834
131,0.5560121,22945.916
132,0.5591884,23077.0
133,0.5607635,23142.0
134,0.56233853,23207.0
135,0.5639135,23272.0
136,0.5654886,23337.0
137,0.5670636,23402.0
138,0.5686387,23467.0
139,0.57021374,23532.0
140,0.5717887,23597.0
141,0.5733638,23662.0
142,0.57493883,23727.0
143,0.5765139,23792.0
144,0.57808894,23857.0
145,0.5792581,23905.25
146,0.5804272,23953.5
147,0.58159643,24001.75
148,0.5827656,24050.0
149,0.5839347,24098.25
150,0.5851039,24146.5
151,0.5862731,24194.75
152,0.5874423,24243.0
153,0.5886114,24291.25
154,0.58978057,24339.5
155,0.5909498,24387.75
156,0.5921189,24436.0
157,0.5929347,24469.666
158,0.5937505,24503.334
159,0.5945663,24537.0
160,0.5953821,24570.666
161,0.59619784,24604.334
162,0.59701365,24638.0
163,0.59782946,24671.666
164,0.59864527,24705.334
165,0.599461,24739.0
166,0.6002768,24772.666
167,0.60109264,24806.334
168,0.6019084,24840.0
169,0.6040912,24930.084
170,0.6062741,25020.166
171,0.60845697,25110.25
172,0.6106398,25200.334
173,0.61282265,25290.416
174,0.6150055,25380.5
175,0.61718833,25470.584
176,0.6193712,25560.666
177,0.621554,25650.75
178,0.62373686,25740.834
179,0.6259197,25830.916
180,0.62810254,25921.0
181,0.63111335,26045.25
182,0.6341241,26169.5
183,0.63713485,26293.75
184,0.6401456,26418.0
185,0.64315635,26542.25
186,0.6461671,26666.5
187,0.64917785,26790.75
188,0.6521886,26915.0
189,0.65519935,27039.25
190,0.6582101,27163.5
191,0.66122085,27287.75
192,0.6642316,27412.0
193,0.66701216,27526.75
194,0.6697927,27641.5
195,0.67257327,27756.25
196,0.6753538,27871.0
197,0.6781344,27985.75
198,0.68091494,28100.5
199,0.6836955,28215.25
200,0.68647605,28330.0
201,0.6892566,28444.75
202,0.69203717,28559.5
203,0.6948177,28674.25
204,0.6975983,28789.0
205,0.7006898,28916.584
206,0.7037813,29044.166
207,0.7068728,29171.75
208,0.7099644,29299.334
209,0.7130559,29426.916
210,0.7161474,29554.5
211,0.71923894,29682.084
212,0.72233045,29809.666
213,0.725422,29937.25
214,0.72851354,30064.834
215,0.73160505,30192.416
216,0.73469657,30320.0
217,0.73707324,30418.084
218,0.73945,30516.166
219,0.74182665,30614.25
220,0.7442034,30712.334
221,0.74658006,30810.416
222,0.74895674,30908.5
223,0.7513335,31006.584
224,0.75371015,31104.666
225,0.7560869,31202.75
226,0.75846356,31300.834
227,0.76084024,31398.916
228,0.763217,31497.0
229,0.76481014,31562.75
230,0.7664034,31628.5
231,0.7679966,31694.25
232,0.76958984,31760.0
233,0.771183,31825.75
234,0.77277625,31891.5
235,0.7743695,31957.25
236,0.77596265,32023.0
237,0.7775559,32088.75
238,0.7791491,32154.5
239,0.78074235,32220.25
240,0.7823355,32286.0
241,0.7834118,32330.416
242,0.7844881,32374.834
243,0.78556436,32419.25
244,0.78664064,32463.666
245,0.7877169,32508.084
246,0.7887932,32552.5
247,0.7898695,32596.916
248,0.79094577,32641.334
249,0.79202205,32685.75
250,0.79309833,32730.166
251,0.7941746,32774.582
252,0.7952509,32819.0
253,0.7956224,32834.332
254,0.795994,32849.668
255,0.79636556,32865.0
256,0.7967371,32880.332
257,0.79710865,32895.668
258,0.79748017,32911.0
259,0.79785174,32926.332
260,0.79822326,32941.668
261,0.79859483,32957.0
262,0.79896635,32972.332
263,0.7993379,32987.668
264,0.79970944,33003.0
265,0.79860085,32957.25
266,0.79749227,32911.5
267,0.7963837,32865.75
268,0.7952751,32820.0
269,0.7941665,32774.25
270,0.7930579,32728.5
271,0.79194933,32682.75
272,0.79084074,32637.0
273,0.78973216,32591.25
274,0.7886236,32545.5
275,0.787515,32499.75
276,0.7864064,32454.0
277,0.78498685,32395.416
278,0.7835673,32336.834
279,0.78214777,32278.25
280,0.78072816,32219.666
281,0.7793086,32161.084
282,0.7778891,32102.5
283,0.7764695,32043.916
284,0.77505,31985.334
285,0.7736304,31926.75
286,0.77221084,31868.166
287,0.7707913,31809.584
288,0.76937175,31751.0
289,0.76817024,31701.416
290,0.7669688,31651.834
291,0.76576734,31602.25
292,0.7645658,31552.666
293,0.7633644,31503.084
294,0.76216286,31453.5
295,0.7609614,31403.916
296,0.75975996,31354.334
297,0.75855845,31304.75
298,0.757357,31255.166
299,0.7561555,31205.584
300,0.75495404,31156.0
301,0.752751,31065.084
302,0.75054795,30974.166
303,0.7483449,30883.25
