timestep,net_demand_normalized,net_demand_mw
0,0.10790862,2754.0
1,0.11298276,2883.5
2,0.11805689,3013.0
3,0.12313102,3142.5
4,0.12820517,3272.0
5,0.1332793,3401.5
6,0.13835342,3531.0
7,0.14342757,3660.5
8,0.1485017,3790.0
9,0.15357584,3919.5
10,0.15864997,4049.0
11,0.1637241,4178.5
12,0.16879824,4308.0
13,0.17934813,4577.25
14,0.18989801,4846.5
15,0.2004479,5115.75
16,0.21099779,5385.0
17,0.22154768,5654.25
18,0.23209758,5923.5
19,0.24264747,6192.75
20,0.25319734,6462.0
21,0.26374725,6731.25
22,0.27429715,7000.5
23,0.28484702,7269.75
24,0.29539692,7539.0
25,0.31641832,8075.5
26,0.33743975,8612.0
27,0.35846114,9148.5
28,0.37948257,9685.0
29,0.400504,10221.5
30,0.4215254,10758.0
31,0.4425468,11294.5
32,0.46356824,11831.0
33,0.48458964,12367.5
34,0.50561106,12904.0
35,0.5266325,13440.5
36,0.5476539,13977.0
37,0.5695961,14537.0
38,0.5915383,15097.0
39,0.6134805,15657.0
40,0.6354227,16217.0
41,0.6573649,16777.0
42,0.6793071,17337.0
43,0.7012493,17897.0
44,0.7231915,18457.0
45,0.7451337,19017.0
46,0.7670759,19577.0
47,0.7890181,20137.0
48,0.81096035,20697.0
49,0.8141243,20777.75
50,0.8172883,20858.5
51,0.8204523,20939.25
52,0.82361627,21020.0
53,0.82678026,21100.75
54,0.82994425,21181.5
55,0.83310825,21262.25
56,0.83627224,21343.0
57,0.83943623,21423.75
58,0.8426002,21504.5
59,0.84576416,21585.25
60,0.84892815,21666.0
61,0.8465119,21604.334
62,0.84409565,21542.666
63,0.8416794,21481.0
64,0.83926314,21419.334
65,0.8368469,21357.666
66,0.83443063,21296.0
67,0.8320144,21234.334
68,0.8295981,21172.666
69,0.8271819,21111.0
70,0.8247656,21049.334
71,0.82234937,20987.666
72,0.8199331,20926.0
73,0.81498635,20799.75
74,0.8100395,20673.5
75,0.80509275,20547.25
76,0.800146,20421.0
77,0.79519916,20294.75
78,0.7902524,20168.5
79,0.78530556,20042.25
80,0.7803588,19916.0
81,0.775412,19789.75
82,0.7704652,19663.5
83,0.7655184,19537.25
84,0.7605716,19411.0
85,0.7564607,19306.084
86,0.75234985,19201.166
87,0.7482389,19096.25
88,0.74412805,18991.334
89,0.7400171,18886.416
90,0.73590624,18781.5
91,0.7317953,18676.584
92,0.72768444,18571.666
93,0.72357357,18466.75
94,0.71946263,18361.834
95,0.71535176,18256.916
96,0.7112408,18152.0
97,0.70947766,18107.0
98,0.70771444,18062.0
99,0.7059512,18017.0
100,0.704188,17972.0
101,0.70242476,17927.0
102,0.7006616,17882.0
103,0.6988984,17837.0
104,0.69713515,17792.0
105,0.6953719,17747.0
106,0.6936087,17702.0
107,0.69184554,17657.0
108,0.6900823,17612.0
109,0.6883158,17566.916
110,0.68654937,17521.834
111,0.68478286,17476.75
112,0.68301636,17431.666
113,0.6812499,17386.584
114,0.6794834,17341.5
115,0.677717,17296.416
116,0.67595047,17251.334
117,0.67418396,17206.25
118,0.6724175,17161.166
119,0.670651,17116.084
120,0.6688846,17071.0
121,0.66656625,17011.834
122,0.664248,16952.666
123,0.66192967,16893.5
124,0.65961134,16834.334
125,0.6572931,16775.166
126,0.65497476,16716.0
127,0.6526565,16656.834
128,0.6503382,16597.666
129,0.64801985,16538.5
130,0.6457016,16479.334
131,0.64338326,16420.166
132,0.641065,16361.0
133,0.639932,16332.083
134,0.63879895,16303.167
135,0.6376659,16274.25
136,0.63653284,16245.333
137,0.6353998,16216.417
138,0.6342668,16187.5
139,0.63313377,16158.583
140,0.63200074,16129.667
141,0.6308677,16100.75
142,0.6297347,16071.833
143,0.6286017,16042.917
144,0.62746865,16014.0
145,0.6291502,16056.917
146,0.63083184,16099.833
147,0.6325134,16142.75
148,0.63419497,16185.667
149,0.63587654,16228.583
150,0.63755816,16271.5
151,0.6392397,16314.417
152,0.6409213,16357.333
153,0.6426029,16400.25
154,0.6442845,16443.166
155,0.64596605,16486.084
156,0.6476476,16529.0
157,0.65150714,16627.5
158,0.6553666,16726.0
159,0.65922606,16824.5
160,0.6630855,16923.0
161,0.66694504,17021.5
162,0.6708045,17120.0
163,0.67466396,17218.5
164,0.6785235,17317.0
165,0.68238294,17415.5
166,0.6862424,17514.0
167,0.69010186,17612.5
168,0.6939614,17711.0
169,0.6925214,17674.25
170,0.69108146,17637.5
171,0.6896415,17600.75
172,0.68820155,17564.0
173,0.68676156,17527.25
174,0.6853216,17490.5
175,0.68388164,17453.75
176,0.6824417,17417.0
177,0.6810017,17380.25
178,0.6795618,17343.5
179,0.67812186,17306.75
180,0.6766819,17270.0
181,0.65634614,16751.0
182,0.6360104,16232.0
183,0.61567473,15713.0
184,0.595339,15194.0
185,0.57500327,14675.0
186,0.55466753,14156.0
187,0.53433186,13637.0
188,0.5139961,13118.0
189,0.4936604,12599.0
190,0.4733247,12080.0
191,0.45298895,11561.0
192,0.43265322,11042.0
193,0.41844958,10679.5
194,0.4042459,10317.0
195,0.39004225,9954.5
196,0.3758386,9592.0
197,0.36163494,9229.5
198,0.34743127,8867.0
199,0.33322763,8504.5
200,0.31902397,8142.0
201,0.3048203,7779.5
202,0.29061666,7417.0
203,0.276413,7054.5
