timestep,net_demand_normalized,net_demand_mw
0,0.77818817,12869.0
1,0.77829903,12870.833
2,0.7784099,12872.667
3,0.77852076,12874.5
4,0.7786316,12876.333
5,0.7787425,12878.167
6,0.77885336,12880.0
7,0.7789642,12881.833
8,0.7790751,12883.667
9,0.77918595,12885.5
10,0.7792968,12887.333
11,0.7794077,12889.167
12,0.77951854,12891.0
13,0.7769284,12848.167
14,0.77433825,12805.333
15,0.7717481,12762.5
16,0.769158,12719.667
17,0.7665679,12676.833
18,0.76397777,12634.0
19,0.76138765,12591.167
20,0.75879747,12548.333
21,0.75620735,12505.5
22,0.7536172,12462.667
23,0.7510271,12419.833
24,0.748437,12377.0
25,0.74363464,12297.583
26,0.7388323,12218.167
27,0.73403,12138.75
28,0.72922766,12059.333
29,0.7244253,11979.917
30,0.719623,11900.5
31,0.7148207,11821.083
32,0.7100184,11741.667
33,0.70521605,11662.25
34,0.7004137,11582.833
35,0.6956114,11503.417
36,0.6908091,11424.0
37,0.68568426,11339.25
38,0.6805594,11254.5
39,0.6754346,11169.75
40,0.6703097,11085.0
41,0.6651849,11000.25
42,0.6600601,10915.5
43,0.65493524,10830.75
44,0.64981043,10746.0
45,0.64468557,10661.25
46,0.63956076,10576.5
47,0.63443595,10491.75
48,0.6293111,10407.0
49,0.6252193,10339.333
50,0.6211275,10271.667
51,0.6170357,10204.0
52,0.6129439,10136.333
53,0.6088521,10068.667
54,0.6047603,10001.0
55,0.6006685,9933.333
56,0.5965767,9865.667
57,0.5924849,9798.0
58,0.5883931,9730.333
59,0.5843013,9662.667
60,0.5802095,9595.0
61,0.57760423,9551.917
62,0.574999,9508.833
63,0.5723937,9465.75
64,0.56978846,9422.667
65,0.56718326,9379.583
66,0.564578,9336.5
67,0.56197274,9293.417
68,0.5593675,9250.333
69,0.5567622,9207.25
70,0.554157,9164.167
71,0.55155176,9121.083
72,0.5489465,9078.0
73,0.5475456,9054.833
74,0.5461447,9031.667
75,0.54474384,9008.5
76,0.54334295,8985.333
77,0.54194206,8962.167
78,0.5405412,8939.0
79,0.5391403,8915.833
80,0.5377394,8892.667
81,0.5363385,8869.5
82,0.5349376,8846.333
83,0.53353673,8823.167
84,0.53213584,8800.0
85,0.5313901,8787.667
86,0.53064424,8775.333
87,0.52989846,8763.0
88,0.52915263,8750.667
89,0.52840686,8738.333
90,0.5276611,8726.0
91,0.52691525,8713.667
92,0.5261695,8701.333
93,0.52542365,8689.0
94,0.5246779,8676.667
95,0.5239321,8664.333
96,0.52318627,8652.0
97,0.5237053,8660.583
98,0.52422434,8669.167
99,0.5247434,8677.75
100,0.5252624,8686.333
101,0.52578145,8694.917
102,0.5263005,8703.5
103,0.5268195,8712.083
104,0.52733856,8720.667
105,0.5278576,8729.25
106,0.52837664,8737.833
107,0.5288957,8746.417
108,0.5294147,8755.0
109,0.53226686,8802.167
110,0.535119,8849.333
111,0.5379712,8896.5
112,0.54082334,8943.667
113,0.54367554,8990.833
114,0.5465277,9038.0
115,0.5493799,9085.167
116,0.552232,9132.333
117,0.55508417,9179.5
118,0.5579364,9226.667
119,0.5607885,9273.833
120,0.5636407,9321.0
121,0.567153,9379.083
122,0.5706653,9437.167
123,0.5741776,9495.25
124,0.5776899,9553.333
125,0.5812022,9611.417
126,0.5847145,9669.5
127,0.5882268,9727.583
128,0.59173906,9785.667
129,0.5952514,9843.75
130,0.5987637,9901.833
131,0.60227597,9959.917
132,0.6057883,10018.0
133,0.6072446,10042.083
134,0.60870093,10066.167
135,0.61015725,10090.25
136,0.6116136,10114.333
137,0.6130699,10138.417
138,0.6145262,10162.5
139,0.61598253,10186.583
140,0.61743885,10210.667
141,0.6188952,10234.75
142,0.6203515,10258.833
143,0.62180775,10282.917
144,0.6232641,10307.0
145,0.6246398,10329.75
146,0.6260155,10352.5
147,0.62739116,10375.25
148,0.6287669,10398.0
149,0.63014257,10420.75
150,0.63151824,10443.5
151,0.6328939,10466.25
