timestep,net_demand_normalized,net_demand_mw
0,0.61856854,9081.547
1,0.6189815,9087.609
2,0.61920047,9090.825
3,0.6196097,9096.833
4,0.62024105,9106.102
5,0.62064797,9112.076
6,0.62082094,9114.615
7,0.621142,9119.33
8,0.62198997,9131.778
9,0.6230476,9147.306
10,0.6239661,9160.792
11,0.62474257,9172.191
12,0.62626314,9194.516
13,0.6272246,9208.632
14,0.62854517,9228.02
15,0.62977743,9246.11
16,0.6310196,9264.348
17,0.63226295,9282.603
18,0.63336504,9298.782
19,0.63435763,9313.355
20,0.635769,9334.076
21,0.6368236,9349.56
22,0.63855284,9374.947
23,0.6400685,9397.199
24,0.6415095,9418.355
25,0.6432751,9444.277
26,0.6453741,9475.095
27,0.6476151,9507.995
28,0.6498122,9540.253
29,0.6519051,9570.9795
30,0.6544513,9608.362
31,0.6568586,9643.705
32,0.6593472,9680.24
33,0.6617279,9715.193
34,0.66430056,9752.964
35,0.6669282,9791.542
36,0.669945,9835.833
37,0.6728241,9878.103
38,0.675529,9917.814
39,0.6781184,9955.831
40,0.6815991,10006.933
41,0.68435514,10047.396
42,0.6872438,10089.807
43,0.6903766,10135.801
44,0.6937346,10185.102
45,0.69733036,10237.893
46,0.7004737,10284.042
47,0.7035315,10328.935
48,0.70669085,10375.319
49,0.7095954,10417.962
50,0.7128202,10465.307
51,0.7165337,10519.828
52,0.7199198,10569.541
53,0.72313035,10616.677
54,0.7269169,10672.269
55,0.7302115,10720.639
56,0.7334879,10768.741
57,0.73666966,10815.455
58,0.74037284,10869.823
59,0.74388564,10921.396
60,0.7472856,10971.313
61,0.7507395,11022.022
62,0.75327885,11059.304
63,0.75639594,11105.066
64,0.75918657,11146.037
65,0.76205343,11188.128
66,0.7642786,11220.797
67,0.7664682,11252.944
68,0.768736,11286.238
69,0.7716979,11329.724
70,0.7738581,11361.438
71,0.77568436,11388.251
72,0.77726024,11411.388
73,0.7790751,11438.032
74,0.7800057,11451.695
75,0.7816744,11476.194
76,0.7829637,11495.123
77,0.783596,11504.406
78,0.78429157,11514.618
79,0.7842181,11513.54
80,0.7844718,11517.265
81,0.78475827,11521.471
82,0.78476036,11521.501
83,0.78475916,11521.483
84,0.78459954,11519.14
85,0.7833784,11501.212
86,0.78196216,11480.419
87,0.7801301,11453.521
88,0.77868986,11432.377
89,0.77633333,11397.779
90,0.77435476,11368.73
91,0.77163804,11328.845
92,0.76931757,11294.776
93,0.7668999,11259.281
94,0.76401585,11216.939
95,0.76073337,11168.747
96,0.7575421,11121.894
97,0.7546161,11078.937
98,0.7517624,11037.04
99,0.74878657,10993.35
100,0.74512595,10939.606
101,0.74120605,10882.056
102,0.7375156,10827.875
103,0.7339926,10776.151
104,0.7298144,10714.81
105,0.7261892,10661.585
106,0.7223327,10604.966
107,0.7180339,10541.854
108,0.71453077,10490.422
109,0.7096164,10418.271
110,0.70496625,10349.999
111,0.7001072,10278.661
112,0.69530684,10208.185
113,0.6904413,10136.751
114,0.68545985,10063.615
115,0.6809403,9997.261
116,0.6758338,9922.29
117,0.67099094,9851.189
118,0.6661844,9780.622
119,0.66136503,9709.865
120,0.65674627,9642.055
121,0.6544511,9608.358
122,0.6524883,9579.541
123,0.65107906,9558.852
124,0.6494159,9534.434
125,0.6480694,9514.665
126,0.64705163,9499.723
127,0.645689,9479.717
128,0.644721,9465.505
129,0.6440462,9455.599
130,0.64353937,9448.157
131,0.64282036,9437.602
132,0.6422518,9429.254
133,0.63988984,9394.576
134,0.63810426,9368.361
135,0.63620055,9340.412
136,0.63438624,9313.775
137,0.6328435,9291.125
138,0.6325249,9286.448
139,0.6313577,9269.3125
140,0.6306548,9258.992
141,0.6301331,9251.333
142,0.6298341,9246.942
143,0.6297401,9245.563
144,0.6298738,9247.525
145,0.63169956,9274.33
146,0.6341832,9310.795
147,0.6363512,9342.624
148,0.63893,9380.485
149,0.6411669,9413.326
150,0.6440107,9455.078
151,0.6469511,9498.246
152,0.65036684,9548.3955
153,0.6538843,9600.036
154,0.65745485,9652.459
155,0.66165125,9714.067
156,0.665519,9770.853
157,0.6701328,9838.591
158,0.67524767,9913.685
159,0.68089664,9996.62
160,0.68587303,10069.681
161,0.6912602,10148.773
162,0.69688374,10231.336
163,0.7025848,10315.036
164,0.7078461,10392.279
165,0.7138057,10479.776
166,0.7198715,10568.832
167,0.726535,10666.663
168,0.7324161,10753.006
169,0.7389541,10848.994
170,0.7455673,10946.087
171,0.7525882,11049.164
172,0.75945705,11150.009
173,0.7665784,11254.562
174,0.77371293,11359.308
175,0.78114516,11468.424
176,0.78902626,11584.131
177,0.79623073,11689.903
178,0.80434376,11809.016
179,0.811994,11921.334
180,0.8196565,12033.83
181,0.8268483,12139.417
182,0.83355707,12237.913
183,0.84049296,12339.741
184,0.8474751,12442.251
185,0.85414416,12540.163
186,0.86105835,12641.674
187,0.8673709,12734.353
188,0.87391806,12830.474
189,0.8806245,12928.935
190,0.88766456,13032.295
191,0.8944109,13131.342
192,0.9003406,13218.398
193,0.90703833,13316.731
194,0.9136628,13413.988
195,0.91957337,13500.766
196,0.9261745,13597.681
197,0.93239605,13689.022
198,0.9383982,13777.143
199,0.9438951,13857.846
200,0.94955057,13940.877
201,0.9549744,14020.508
202,0.9604608,14101.056
203,0.96503067,14168.149
204,0.9693365,14231.365
205,0.9736244,14294.318
206,0.9774671,14350.735
207,0.981469,14409.489
208,0.9849586,14460.722
209,0.9876318,14499.969
210,0.99038655,14540.413
211,0.99222165,14567.3545
212,0.99467164,14603.324
213,0.9964287,14629.121
214,0.99811655,14653.9
215,0.99928457,14671.049
