timestep,net_demand_normalized,net_demand_mw
0,0.8374876,28645.0
1,0.83753633,28646.666
2,0.83758503,28648.334
3,0.8376338,28650.0
4,0.8376825,28651.666
5,0.83773124,28653.334
6,0.83777994,28655.0
7,0.8378287,28656.666
8,0.8378774,28658.334
9,0.83792615,28660.0
10,0.83797485,28661.666
11,0.8380236,28663.334
12,0.83807236,28665.0
13,0.8361963,28600.834
14,0.8343203,28536.666
15,0.83244425,28472.5
16,0.8305682,28408.334
17,0.8286922,28344.166
18,0.82681614,28280.0
19,0.82494015,28215.834
20,0.8230641,28151.666
21,0.8211881,28087.5
22,0.81931204,28023.334
23,0.81743604,27959.166
24,0.81556,27895.0
25,0.8105995,27725.334
26,0.80563897,27555.666
27,0.8006785,27386.0
28,0.79571795,27216.334
29,0.7907575,27046.666
30,0.78579694,26877.0
31,0.78083646,26707.334
32,0.7758759,26537.666
33,0.77091545,26368.0
34,0.7659549,26198.334
35,0.76099443,26028.666
36,0.7560339,25859.0
37,0.75066656,25675.416
38,0.74529916,25491.834
39,0.73993176,25308.25
40,0.73456436,25124.666
41,0.72919697,24941.084
42,0.7238296,24757.5
43,0.7184622,24573.916
44,0.71309483,24390.334
45,0.70772743,24206.75
46,0.7023601,24023.166
47,0.6969927,23839.584
48,0.6916253,23656.0
49,0.6883142,23542.75
50,0.68500316,23429.5
51,0.6816921,23316.25
52,0.678381,23203.0
53,0.67507,23089.75
54,0.6717589,22976.5
55,0.66844785,22863.25
56,0.66513675,22750.0
57,0.6618257,22636.75
58,0.6585146,22523.5
59,0.6552036,22410.25
60,0.6518925,22297.0
61,0.65048915,22249.0
62,0.64908576,22201.0
63,0.6476824,22153.0
64,0.64627904,22105.0
65,0.6448757,22057.0
66,0.6434723,22009.0
67,0.6420689,21961.0
68,0.6406656,21913.0
69,0.6392622,21865.0
70,0.63785887,21817.0
71,0.6364555,21769.0
72,0.63505214,21721.0
73,0.6335562,21669.834
74,0.6320602,21618.666
75,0.6305643,21567.5
76,0.6290683,21516.334
77,0.62757236,21465.166
78,0.62607646,21414.0
79,0.6245805,21362.834
80,0.62308455,21311.666
81,0.6215886,21260.5
82,0.62009263,21209.334
83,0.6185967,21158.166
84,0.6171007,21107.0
85,0.6162261,21077.084
86,0.6153514,21047.166
87,0.61447674,21017.25
88,0.61360204,20987.334
89,0.6127274,20957.416
90,0.61185277,20927.5
91,0.61097807,20897.584
92,0.6101034,20867.666
93,0.60922873,20837.75
94,0.6083541,20807.834
95,0.6074794,20777.916
96,0.60660475,20748.0
97,0.60684353,20756.166
98,0.60708225,20764.334
99,0.607321,20772.5
100,0.6075598,20780.666
101,0.6077986,20788.834
102,0.60803735,20797.0
103,0.6082761,20805.166
104,0.60851485,20813.334
105,0.6087536,20821.5
106,0.6089924,20829.666
107,0.6092312,20837.834
108,0.60946995,20846.0
109,0.61044204,20879.25
110,0.6114142,20912.5
111,0.6123863,20945.75
112,0.61335844,20979.0
113,0.61433053,21012.25
114,0.6153027,21045.5
115,0.6162748,21078.75
116,0.6172469,21112.0
117,0.618219,21145.25
118,0.61919117,21178.5
119,0.6201633,21211.75
120,0.6211354,21245.0
121,0.6238715,21338.584
122,0.62660754,21432.166
123,0.6293436,21525.75
124,0.6320797,21619.334
125,0.6348158,21712.916
126,0.63755184,21806.5
127,0.64028794,21900.084
128,0.643024,21993.666
129,0.6457601,22087.25
130,0.64849615,22180.834
131,0.65123224,22274.416
132,0.65396833,22368.0
133,0.6550087,22403.584
134,0.656049,22439.166
135,0.65708935,22474.75
136,0.6581297,22510.334
137,0.65917003,22545.916
138,0.6602104,22581.5
139,0.6612507,22617.084
140,0.66229105,22652.666
141,0.6633314,22688.25
142,0.6643717,22723.834
143,0.66541207,22759.416
144,0.6664524,22795.0
145,0.66561186,22766.25
146,0.6647713,22737.5
147,0.6639308,22708.75
148,0.66309017,22680.0
149,0.6622496,22651.25
150,0.6614091,22622.5
151,0.66056854,22593.75
152,0.659728,22565.0
153,0.6588874,22536.25
154,0.65804684,22507.5
155,0.6572063,22478.75
156,0.65636575,22450.0
157,0.6554326,22418.084
158,0.6544995,22386.166
159,0.6535663,22354.25
160,0.6526332,22322.334
161,0.6517,22290.416
162,0.6507669,22258.5
163,0.64983374,22226.584
164,0.6489006,22194.666
165,0.64796746,22162.75
166,0.64703435,22130.834
167,0.6461012,22098.916
168,0.64516807,22067.0
169,0.64670056,22119.416
170,0.64823306,22171.834
171,0.64976555,22224.25
172,0.65129805,22276.666
173,0.65283054,22329.084
174,0.65436304,22381.5
175,0.65589553,22433.916
176,0.657428,22486.334
177,0.6589605,22538.75
178,0.660493,22591.166
179,0.6620255,22643.584
180,0.663558,22696.0
181,0.66642076,22793.916
182,0.6692835,22891.834
183,0.67214626,22989.75
184,0.6750091,23087.666
185,0.6778718,23185.584
186,0.6807346,23283.5
187,0.6835974,23381.416
188,0.68646014,23479.334
189,0.6893229,23577.25
190,0.69218564,23675.166
191,0.69504845,23773.084
192,0.6979112,23871.0
193,0.70074475,23967.916
194,0.7035783,24064.834
195,0.7064118,24161.75
196,0.7092453,24258.666
197,0.71207887,24355.584
198,0.7149124,24452.5
199,0.7177459,24549.416
200,0.72057945,24646.334
201,0.723413,24743.25
202,0.72624654,24840.166
203,0.72908,24937.084
204,0.73191357,25034.0
205,0.7353562,25151.75
206,0.73879886,25269.5
207,0.74224144,25387.25
208,0.7456841,25505.0
209,0.74912673,25622.75
210,0.7525694,25740.5
211,0.756012,25858.25
212,0.7594546,25976.0
213,0.76289725,26093.75
214,0.7663399,26211.5
215,0.76978254,26329.25
216,0.7732251,26447.0
217,0.77610254,26545.416
218,0.7789799,26643.834
219,0.7818573,26742.25
220,0.7847347,26840.666
221,0.7876121,26939.084
222,0.7904895,27037.5
223,0.79336685,27135.916
224,0.79624426,27234.334
225,0.7991216,27332.75
226,0.80199903,27431.166
227,0.8048764,27529.584
228,0.8077538,27628.0
229,0.8104338,27719.666
230,0.81311387,27811.334
231,0.81579393,27903.0
232,0.81847394,27994.666
233,0.821154,28086.334
234,0.823834,28178.0
235,0.82651407,28269.666
236,0.82919407,28361.334
237,0.83187413,28453.0
238,0.8345542,28544.666
239,0.8372342,28636.334
240,0.83991426,28728.0
241,0.8420997,28802.75
242,0.84428513,28877.5
243,0.8464706,28952.25
244,0.84865606,29027.0
245,0.8508415,29101.75
246,0.8530269,29176.5
247,0.8552124,29251.25
248,0.85739785,29326.0
249,0.8595833,29400.75
250,0.8617687,29475.5
251,0.8639542,29550.25
252,0.86613965,29625.0
253,0.8677988,29681.75
254,0.869458,29738.5
255,0.8711172,29795.25
256,0.8727764,29852.0
257,0.8744356,29908.75
258,0.87609476,29965.5
259,0.877754,30022.25
260,0.8794131,30079.0
261,0.88107234,30135.75
262,0.8827315,30192.5
263,0.8843907,30249.25
264,0.88604987,30306.0
265,0.88715845,30343.916
266,0.88826704,30381.834
267,0.88937557,30419.75
268,0.89048415,30457.666
269,0.8915927,30495.584
270,0.89270127,30533.5
271,0.8938098,30571.416
272,0.8949184,30609.334
273,0.89602697,30647.25
274,0.8971355,30685.166
275,0.8982441,30723.084
276,0.8993526,30761.0
277,0.9006098,30804.0
278,0.901867,30847.0
