INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2025-05-20T11:00:00-00:00,2025-05-20T12:00:00-00:00,2025-05-20,5,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,28.09397,1
2025-05-21T02:00:00-00:00,2025-05-21T03:00:00-00:00,2025-05-20,20,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,47.6942,1
2025-05-20T10:00:00-00:00,2025-05-20T11:00:00-00:00,2025-05-20,4,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,25.66685,1
2025-05-21T06:00:00-00:00,2025-05-21T07:00:00-00:00,2025-05-20,24,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,33.01449,1
2025-05-21T00:00:00-00:00,2025-05-21T01:00:00-00:00,2025-05-20,18,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,23.1498,1
2025-05-21T05:00:00-00:00,2025-05-21T06:00:00-00:00,2025-05-20,23,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,34.36067,1
2025-05-20T18:00:00-00:00,2025-05-20T19:00:00-00:00,2025-05-20,12,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,1.63437,1
2025-05-20T08:00:00-00:00,2025-05-20T09:00:00-00:00,2025-05-20,2,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,26.65464,1
2025-05-20T19:00:00-00:00,2025-05-20T20:00:00-00:00,2025-05-20,13,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,1.19195,1
2025-05-20T20:00:00-00:00,2025-05-20T21:00:00-00:00,2025-05-20,14,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,4.12385,1
2025-05-20T15:00:00-00:00,2025-05-20T16:00:00-00:00,2025-05-20,9,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,14.60621,1
2025-05-20T16:00:00-00:00,2025-05-20T17:00:00-00:00,2025-05-20,10,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,8.84941,1
2025-05-20T17:00:00-00:00,2025-05-20T18:00:00-00:00,2025-05-20,11,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,1.91532,1
2025-05-20T21:00:00-00:00,2025-05-20T22:00:00-00:00,2025-05-20,15,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,4.34446,1
2025-05-20T09:00:00-00:00,2025-05-20T10:00:00-00:00,2025-05-20,3,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,25.74001,1
2025-05-20T13:00:00-00:00,2025-05-20T14:00:00-00:00,2025-05-20,7,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,28.13462,1
2025-05-21T03:00:00-00:00,2025-05-21T04:00:00-00:00,2025-05-20,21,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,47.82973,1
2025-05-20T12:00:00-00:00,2025-05-20T13:00:00-00:00,2025-05-20,6,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,29.9229,1
2025-05-20T14:00:00-00:00,2025-05-20T15:00:00-00:00,2025-05-20,8,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,21.44,1
2025-05-21T04:00:00-00:00,2025-05-21T05:00:00-00:00,2025-05-20,22,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,43.62276,1
2025-05-20T22:00:00-00:00,2025-05-20T23:00:00-00:00,2025-05-20,16,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,8.80736,1
2025-05-20T23:00:00-00:00,2025-05-21T00:00:00-00:00,2025-05-20,17,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,12.93194,1
2025-05-21T01:00:00-00:00,2025-05-21T02:00:00-00:00,2025-05-20,19,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,35.48477,1
2025-05-20T07:00:00-00:00,2025-05-20T08:00:00-00:00,2025-05-20,1,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,27.78,1
2025-05-20T07:00:00-00:00,2025-05-20T08:00:00-00:00,2025-05-20,1,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,MCC,LMP_CONG_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,-1.55109,2
