Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other
00:00,-43,4520,790,235,167,279,0,1131,5119,4032,1586,6435,0
00:05,-43,4615,790,236,167,279,0,1132,5168,3777,2142,6205,0
00:10,-43,4602,790,234,167,280,0,1131,5221,3643,2419,6017,0
00:15,-42,4594,792,233,167,280,0,1131,5238,3598,2402,5972,0
00:20,-43,4630,793,235,167,279,0,1132,5221,3586,2291,5965,0
00:25,-43,4638,793,235,167,279,0,1131,5239,3536,1934,6151,0
00:30,-43,4660,793,235,163,279,0,1131,5266,3551,1559,6340,0
00:35,-43,4656,792,239,161,279,0,1131,5288,3546,1329,6459,0
00:40,-42,4650,792,238,161,279,0,1131,5308,3545,1116,6552,0
00:45,-42,4587,790,238,161,279,0,1131,5319,3544,1022,6665,0
00:50,-43,4580,790,239,161,278,0,1130,5336,3538,1016,6586,0
00:55,-43,4560,790,241,160,279,0,1130,5346,3536,1012,6512,0
01:00,-43,4525,792,241,161,280,0,1131,5339,3523,953,6514,0
01:05,-43,4484,794,241,160,279,0,1130,5328,3548,1035,6445,0
01:10,-44,4407,793,239,160,277,0,1130,5330,3554,1135,6437,0
01:15,-44,4356,793,237,160,277,0,1131,5312,3528,1152,6399,0
01:20,-44,4322,793,237,160,277,0,1130,5309,3530,1144,6326,0
01:25,-44,4288,791,236,160,277,0,1131,5298,3524,993,6454,0
01:30,-44,4230,792,236,160,276,0,1131,5297,3519,867,6550,0
01:35,-44,4170,791,236,160,276,0,1131,5292,3512,817,6577,0
01:40,-44,4170,791,236,160,276,0,1131,5289,3506,741,6592,0
01:45,-44,4184,793,238,160,276,0,1131,5293,3489,686,6585,0
01:50,-44,4219,794,237,160,275,0,1131,5293,3506,614,6431,0
01:55,-44,4243,794,238,160,275,0,1131,5295,3497,468,6407,0
02:00,-44,4291,793,239,160,276,0,1131,5299,3462,393,6412,0
02:05,-44,4364,792,237,160,276,0,1131,5302,3428,305,6407,0
02:10,-44,4426,792,236,160,276,0,1131,5290,3393,217,6284,0
02:15,-44,4496,792,236,160,277,0,1131,5276,3375,138,6152,0
02:20,-44,4532,791,235,160,277,0,1132,5261,3374,59,6139,0
02:25,-44,4541,792,235,160,277,0,1132,5233,3363,-24,6159,0
02:30,-44,4570,792,238,161,276,0,1131,5180,3363,-35,6136,0
02:35,-44,4614,791,238,160,276,0,1132,5142,3363,-35,6062,0
02:40,-44,4667,792,239,160,276,0,1132,5141,3346,-19,5944,0
02:45,-44,4707,792,238,160,276,0,1132,5122,3348,-9,5856,0
