Time,Hour ahead forecast,Current demand,Net demand,Net demand forecast,Demand response
00:00,22869,22725,18631,18691,
00:05,22869,22976,18651,17880,
00:10,22869,22847,18729,17880,
00:15,22869,22884,18777,17880,
00:20,22819,22836,18728,17880,
00:25,22819,22755,18677,17880,
00:30,22819,22685,18593,17880,
00:35,22560,22547,18462,17880,
00:40,22560,22400,18334,17880,
00:45,22560,22373,18273,17880,
00:50,22234,22229,18170,17880,
00:55,22234,22180,18061,17880,
01:00,22234,22020,17888,17880,
01:05,21997,21973,17759,17646,
01:10,21997,21914,17762,17646,
01:15,21997,21847,17682,17646,
01:20,21757,21786,17619,17646,
01:25,21757,21716,17617,17646,
01:30,21757,21629,17572,17646,
01:35,21512,21550,17535,17646,
01:40,21512,21465,17472,17646,
01:45,21512,21449,17409,17646,
01:50,21229,21333,17336,17646,
01:55,21229,21263,17310,17646,
02:00,21229,21195,17322,17646,
02:05,21065,21178,17286,17087,
02:10,21065,21098,17254,17087,
02:15,21065,21036,17195,17087,
02:20,20919,21008,17193,17087,
02:25,20919,20958,17178,17087,
02:30,20919,20919,17156,17087,
02:35,20746,20850,17122,17087,
02:40,20746,20795,17074,17087,
02:45,20746,20755,17058,17087,
02:50,20593,20731,17029,17087,
02:55,20593,20699,17051,17087,
03:00,20593,20680,16996,17087,
03:05,20573,20654,17051,16947,
03:10,20573,20530,16951,16947,
03:15,20573,20578,17040,16947,
03:20,20530,20557,17057,16947,
03:25,20530,20561,17101,16947,
03:30,20530,20520,17110,16947,
03:35,20471,20558,17110,16947,
03:40,20471,20564,17151,16947,
03:45,20471,20548,17138,16947,
03:50,20458,20491,17170,16947,
03:55,20458,20492,17206,16947,
04:00,20458,20437,17204,16947,
04:05,20578,20599,17305,17662,
04:10,20578,20363,17104,17662,
04:15,20578,20515,17269,17662,
04:20,20761,20494,17333,17662,
04:25,20761,20600,17422,17662,
04:30,20761,20619,17467,17662,
04:35,20752,20703,17532,17662,
04:40,20752,20732,17698,17662,
04:45,20752,20743,17729,17662,
04:50,20854,20780,17776,17662,
04:55,20854,20807,17881,17662,
05:00,20854,20950,18003,17662,
05:05,21166,21094,18217,19104,
05:10,21166,21291,18439,19104,
05:15,21166,21402,18616,19104,
05:20,21529,21446,18659,19104,
05:25,21529,21580,18779,19104,
05:30,21529,21667,18904,19104,
05:35,21717,21789,19016,19104,
05:40,21717,21925,19170,19104,
05:45,21717,21939,19231,19104,
05:50,21815,21934,19196,19104,
05:55,21815,21925,19143,19104,
06:00,21815,21918,19036,19104,
06:05,22217,22104,18933,16884,
06:10,22217,22242,18854,16884,
06:15,22217,22345,18724,16884,
06:20,22559,22403,18337,16884,
06:25,22559,22402,17977,16884,
06:30,22559,22509,17522,16884,
06:35,22722,22635,16970,16884,
06:40,22722,22724,16384,16884,
06:45,22722,22772,15896,16884,
06:50,22837,22816,15186,16884,
06:55,22837,22914,14302,16884,
07:00,22837,23007,13578,16884,
07:05,23021,23042,12880,9829,
07:10,23021,23327,12501,9829,
07:15,23021,23494,12260,9829,
07:20,23159,23366,11647,9829,
07:25,23159,23420,11141,9829,
07:30,23159,23458,10661,9829,
07:35,23029,23476,10088,9829,
07:40,23029,23379,9534,9829,
07:45,23029,23249,9098,9829,
07:50,22890,23101,8585,9829,
07:55,22890,23025,8071,9829,
08:00,22890,22962,7746,9829,
08:05,22820,23158,7560,4399,
08:10,22820,23198,7597,4399,
08:15,22820,23108,7080,4399,
08:20,22873,23093,6769,4399,
08:25,22873,23161,6460,4399,
08:30,22873,23060,6187,4399,
08:35,22468,23070,5767,4399,
08:40,22468,22906,5418,4399,
08:45,22468,22781,5170,4399,
08:50,22394,22646,5062,4399,
08:55,22394,22564,5104,4399,
09:00,22394,22486,5030,4399,
09:05,22406,22407,4940,1468,
09:10,22406,22314,4992,1468,
09:15,22406,22287,4898,1468,
09:20,22155,22125,4497,1468,
09:25,22155,21931,4157,1468,
09:30,22155,21821,3882,1468,
09:35,21697,21624,3727,1468,
09:40,21697,21321,3440,1468,
09:45,21697,21064,3373,1468,
09:50,21202,20836,3189,1468,
09:55,21202,20750,3091,1468,
10:00,21202,20565,2814,1468,
10:05,20857,20618,2667,-782,
10:10,20857,20452,2450,-782,
10:15,20857,20348,2104,-782,
10:20,20214,20032,1708,-782,
10:25,20214,19808,1388,-782,
10:30,20214,19571,1056,-782,
10:35,19635,19496,855,-782,
10:40,19635,19246,617,-782,
10:45,19635,18994,341,-782,
10:50,19334,18897,148,-782,
10:55,19334,18721,-306,-782,
11:00,19334,18632,-389,-782,
11:05,18857,18691,-183,-2080,
11:10,18857,18515,-279,-2080,
11:15,18857,18527,-397,-2080,
11:20,18426,18437,-575,-2080,
11:25,18426,18428,-657,-2080,
11:30,18426,18366,-764,-2080,
11:35,18032,18330,-827,-2080,
11:40,18032,18285,-800,-2080,
11:45,18032,18117,-720,-2080,
11:50,17933,17897,-386,-2080,
11:55,17933,18153,-192,-2080,
12:00,17933,18244,-362,-2080,
12:05,18006,18289,-836,-2377,
12:10,18006,18231,-1208,-2377,
12:15,18006,18095,-1358,-2377,
12:20,18038,18159,-1481,-2377,
12:25,18038,18133,-1243,-2377,
12:30,18038,17943,-1092,-2377,
12:35,18028,18111,-1300,-2377,
12:40,18028,18181,-1306,-2377,
12:45,18028,18228,-1192,-2377,
12:50,18299,18193,-1342,-2377,
12:55,18299,18236,-1287,-2377,
13:00,18299,18199,-1209,-2377,
13:05,18298,18238,-886,-1935,
13:10,18298,18253,-775,-1935,
13:15,18298,18367,-828,-1935,
13:20,18454,18366,-734,-1935,
13:25,18454,18376,-751,-1935,
13:30,18454,18527,-665,-1935,
13:35,18640,18615,-585,-1935,
13:40,18640,18653,-672,-1935,
13:45,18640,18749,-477,-1935,
13:50,18881,18627,-386,-1935,
13:55,18881,18921,-56,-1935,
14:00,18881,19030,124,-1935,
14:05,19130,19132,36,-641,
14:10,19130,19072,-73,-641,
14:15,19130,19084,170,-641,
14:20,19460,19473,349,-641,
14:25,19460,19348,753,-641,
14:30,19460,19712,992,-641,
14:35,19719,19723,901,-641,
14:40,19719,19776,1131,-641,
14:45,19719,20018,1248,-641,
14:50,20135,20164,1272,-641,
14:55,20135,20301,1473,-641,
15:00,20135,20517,1709,-641,
15:05,20615,20560,1862,1247,
15:10,20615,20782,2014,1247,
15:15,20615,20887,2235,1247,
15:20,21072,21112,2324,1247,
15:25,21072,21180,2678,1247,
15:30,21072,21502,3017,1247,
15:35,21627,21630,3165,1247,
15:40,21627,21813,3277,1247,
15:45,21627,22028,3509,1247,
15:50,22181,22136,3553,1247,
15:55,22181,22480,3857,1247,
16:00,22181,22823,4316,1247,
16:05,22578,22744,4452,3637,
16:10,22578,22842,4390,3637,
16:15,22578,22953,4580,3637,
16:20,23259,23217,4725,3637,
16:25,23259,23401,5011,3637,
16:30,23259,23594,5133,3637,
16:35,24013,23819,5313,3637,
16:40,24013,24087,5601,3637,
16:45,24013,24327,5947,3637,
16:50,24701,24566,6336,3637,
16:55,24701,24803,6721,3637,
17:00,24701,24966,7102,3637,
17:05,25045,25078,7656,8454,
17:10,25045,25248,8062,8454,
17:15,25045,25434,8356,8454,
17:20,25607,25635,8748,8454,
17:25,25607,25861,9049,8454,
17:30,25607,25987,9337,8454,
17:35,26307,26314,9881,8454,
17:40,26307,26414,10225,8454,
17:45,26307,26655,10694,8454,
17:50,26960,26940,11262,8454,
17:55,26960,27086,11849,8454,
18:00,26960,27264,12384,8454,
18:05,27229,27517,13149,16598,
18:10,27229,27445,13552,16598,
18:15,27229,27619,14256,16598,
18:20,27725,27797,15038,16598,
18:25,27725,28020,15906,16598,
18:30,27725,28214,16806,16598,
18:35,28253,28312,17676,16598,
18:40,28253,28454,18525,16598,
18:45,28253,28569,19381,16598,
18:50,28762,28703,20253,16598,
18:55,28762,28729,21045,16598,
19:00,28762,28822,21810,16598,
19:05,28822,28882,22589,23921,
19:10,28822,28967,23222,23921,
19:15,28822,29100,23965,23921,
19:20,28996,29138,24566,23921,
19:25,28996,29156,25008,23921,
19:30,28996,29225,25428,23921,
19:35,29076,29285,25811,23921,
19:40,29076,29318,26088,23921,
19:45,29076,29342,26312,23921,
19:50,29320,29346,26552,23921,
19:55,29320,29386,26694,23921,
20:00,29320,29472,26776,23921,
20:05,29440,29526,26852,25382,
20:10,29440,29659,26938,25382,
20:15,29440,29708,26981,25382,
20:20,29478,29718,26973,25382,
20:25,29478,29732,26937,25382,
20:30,29478,29732,26909,25382,
20:35,29388,29700,26867,25382,
20:40,29388,29663,26859,25382,
20:45,29388,29636,26733,25382,
20:50,29354,29602,26649,25382,
20:55,29354,29520,26590,25382,
21:00,29354,29414,26465,25382,
21:05,29387,29457,26424,24445,
21:10,29387,29509,26540,24445,
21:15,29387,29383,26447,24445,
21:20,29195,29302,26330,24445,
21:25,29195,29182,26215,24445,
21:30,29195,29088,26095,24445,
21:35,28885,28954,25955,24445,
21:40,28885,28877,25872,24445,
21:45,28885,28747,25754,24445,
21:50,28428,28616,25602,24445,
21:55,28428,28422,25380,24445,
22:00,28428,28188,25119,24445,
22:05,27883,28057,24900,22477,
22:10,27883,27941,24784,22477,
22:15,27883,27794,24670,22477,
22:20,27436,27613,24478,22477,
22:25,27436,27429,24305,22477,
22:30,27436,27318,24181,22477,
22:35,26951,27124,24030,22477,
22:40,26951,26964,23908,22477,
22:45,26951,26728,23731,22477,
22:50,26426,26598,23576,22477,
22:55,26426,26402,23471,22477,
23:00,26426,26250,23356,22477,
23:05,25944,26080,23162,20771,
23:10,25944,25954,23136,20771,
23:15,25944,25801,22959,20771,
23:20,25524,25698,22789,20771,
23:25,25524,25455,22608,20771,
23:30,25524,25318,22480,20771,
23:35,25152,25159,22281,20771,
23:40,25152,25028,22141,20771,
23:45,25152,24872,21967,20771,
23:50,24753,24698,21802,20771,
23:55,24753,24578,21655,20771,
00:00,24753,24439,21541,20771,
