timestep,timestamp_utc,timestamp_local,reference_timestamp_utc,price_usd_kwh,net_demand_mw,net_demand_signed,solar_fraction
0,2025-05-01 07:00:00+00:00,2025-05-01 02:00:00-05:00,2025-05-01 09:00:00+00:00,0.030194400000000003,18878,0.5658703276280687,0.0
1,2025-05-01 07:05:00+00:00,2025-05-01 02:05:00-05:00,2025-05-01 09:05:00+00:00,0.030194400000000003,18892,0.5662899793171667,0.0
2,2025-05-01 07:10:00+00:00,2025-05-01 02:10:00-05:00,2025-05-01 09:10:00+00:00,0.030194400000000003,18692,0.5602949551871946,0.0
3,2025-05-01 07:15:00+00:00,2025-05-01 02:15:00-05:00,2025-05-01 09:15:00+00:00,0.030194400000000003,18583,0.5570276670363599,0.0
4,2025-05-01 07:20:00+00:00,2025-05-01 02:20:00-05:00,2025-05-01 09:20:00+00:00,0.030194400000000003,18514,0.5549593837115194,0.0
5,2025-05-01 07:25:00+00:00,2025-05-01 02:25:00-05:00,2025-05-01 09:25:00+00:00,0.030194400000000003,18399,0.5515122448367855,0.0
6,2025-05-01 07:30:00+00:00,2025-05-01 02:30:00-05:00,2025-05-01 09:30:00+00:00,0.030194400000000003,18365,0.5504930907346902,0.0
7,2025-05-01 07:35:00+00:00,2025-05-01 02:35:00-05:00,2025-05-01 09:35:00+00:00,0.030194400000000003,18300,0.5485447078924492,0.0
8,2025-05-01 07:40:00+00:00,2025-05-01 02:40:00-05:00,2025-05-01 09:40:00+00:00,0.030194400000000003,18224,0.5462665987230598,0.0
9,2025-05-01 07:45:00+00:00,2025-05-01 02:45:00-05:00,2025-05-01 09:45:00+00:00,0.030194400000000003,18224,0.5462665987230598,0.0
10,2025-05-01 07:50:00+00:00,2025-05-01 02:50:00-05:00,2025-05-01 09:50:00+00:00,0.030194400000000003,18148,0.5439884895536704,0.0
11,2025-05-01 07:55:00+00:00,2025-05-01 02:55:00-05:00,2025-05-01 09:55:00+00:00,0.030194400000000003,18115,0.5429993105722251,0.0
12,2025-05-01 08:00:00+00:00,2025-05-01 03:00:00-05:00,2025-05-01 10:00:00+00:00,0.03050084,18031,0.5404814004376368,0.0
13,2025-05-01 08:05:00+00:00,2025-05-01 03:05:00-05:00,2025-05-01 10:05:00+00:00,0.03050084,18006,0.5397320224213903,0.0
14,2025-05-01 08:10:00+00:00,2025-05-01 03:10:00-05:00,2025-05-01 10:10:00+00:00,0.03050084,18010,0.5398519229039896,0.0
15,2025-05-01 08:15:00+00:00,2025-05-01 03:15:00-05:00,2025-05-01 10:15:00+00:00,0.03050084,17971,0.5386828931986452,0.0
16,2025-05-01 08:20:00+00:00,2025-05-01 03:20:00-05:00,2025-05-01 10:20:00+00:00,0.03050084,17992,0.5393123707322922,0.0
17,2025-05-01 08:25:00+00:00,2025-05-01 03:25:00-05:00,2025-05-01 10:25:00+00:00,0.03050084,17925,0.5373040376487516,0.0
18,2025-05-01 08:30:00+00:00,2025-05-01 03:30:00-05:00,2025-05-01 10:30:00+00:00,0.03050084,17912,0.5369143610803033,0.0
19,2025-05-01 08:35:00+00:00,2025-05-01 03:35:00-05:00,2025-05-01 10:35:00+00:00,0.03050084,17928,0.5373939630107011,0.0
20,2025-05-01 08:40:00+00:00,2025-05-01 03:40:00-05:00,2025-05-01 10:40:00+00:00,0.03050084,17936,0.5376337639759,0.0
21,2025-05-01 08:45:00+00:00,2025-05-01 03:45:00-05:00,2025-05-01 10:45:00+00:00,0.03050084,17962,0.5384131171127964,0.0
22,2025-05-01 08:50:00+00:00,2025-05-01 03:50:00-05:00,2025-05-01 10:50:00+00:00,0.03050084,18002,0.5396121219387908,0.0
23,2025-05-01 08:55:00+00:00,2025-05-01 03:55:00-05:00,2025-05-01 10:55:00+00:00,0.03050084,18015,0.540001798507239,0.0
24,2025-05-01 09:00:00+00:00,2025-05-01 04:00:00-05:00,2025-05-01 11:00:00+00:00,0.03064216,18030,0.5404514253169869,0.0
25,2025-05-01 09:05:00+00:00,2025-05-01 04:05:00-05:00,2025-05-01 11:05:00+00:00,0.03064216,18096,0.5424297832798777,0.0
26,2025-05-01 09:10:00+00:00,2025-05-01 04:10:00-05:00,2025-05-01 11:10:00+00:00,0.03064216,18177,0.5448577680525164,0.0
27,2025-05-01 09:15:00+00:00,2025-05-01 04:15:00-05:00,2025-05-01 11:15:00+00:00,0.03064216,18272,0.5477054045142532,0.0
28,2025-05-01 09:20:00+00:00,2025-05-01 04:20:00-05:00,2025-05-01 11:20:00+00:00,0.03064216,18279,0.5479152303588022,0.0
29,2025-05-01 09:25:00+00:00,2025-05-01 04:25:00-05:00,2025-05-01 11:25:00+00:00,0.03064216,18265,0.5474955786697041,0.0
30,2025-05-01 09:30:00+00:00,2025-05-01 04:30:00-05:00,2025-05-01 11:30:00+00:00,0.03064216,18252,0.547105902101256,0.0
31,2025-05-01 09:35:00+00:00,2025-05-01 04:35:00-05:00,2025-05-01 11:35:00+00:00,0.03064216,18217,0.5460567728785108,0.0
32,2025-05-01 09:40:00+00:00,2025-05-01 04:40:00-05:00,2025-05-01 11:40:00+00:00,0.03064216,18198,0.5454872455861635,0.0
33,2025-05-01 09:45:00+00:00,2025-05-01 04:45:00-05:00,2025-05-01 11:45:00+00:00,0.03064216,18151,0.54407841491562,0.0
34,2025-05-01 09:50:00+00:00,2025-05-01 04:50:00-05:00,2025-05-01 11:50:00+00:00,0.03064216,18157,0.5442582656395192,0.0
35,2025-05-01 09:55:00+00:00,2025-05-01 04:55:00-05:00,2025-05-01 11:55:00+00:00,0.03064216,18122,0.543209136416774,0.0
36,2025-05-01 10:00:00+00:00,2025-05-01 05:00:00-05:00,2025-05-01 12:00:00+00:00,0.03621209,18186,0.5451275441383652,0.0
37,2025-05-01 10:05:00+00:00,2025-05-01 05:05:00-05:00,2025-05-01 12:05:00+00:00,0.03621209,18454,0.5531608764725278,0.0
38,2025-05-01 10:10:00+00:00,2025-05-01 05:10:00-05:00,2025-05-01 12:10:00+00:00,0.03621209,18449,0.5530110008692785,0.0
39,2025-05-01 10:15:00+00:00,2025-05-01 05:15:00-05:00,2025-05-01 12:15:00+00:00,0.03621209,18661,0.559365726447049,0.0
40,2025-05-01 10:20:00+00:00,2025-05-01 05:20:00-05:00,2025-05-01 12:20:00+00:00,0.03621209,18832,0.5644914720781751,0.0
41,2025-05-01 10:25:00+00:00,2025-05-01 05:25:00-05:00,2025-05-01 12:25:00+00:00,0.03621209,18954,0.5681484367974581,0.0
42,2025-05-01 10:30:00+00:00,2025-05-01 05:30:00-05:00,2025-05-01 12:30:00+00:00,0.03621209,18989,0.5691975660202032,0.0
43,2025-05-01 10:35:00+00:00,2025-05-01 05:35:00-05:00,2025-05-01 12:35:00+00:00,0.03621209,19049,0.5709960732591949,0.0
44,2025-05-01 10:40:00+00:00,2025-05-01 05:40:00-05:00,2025-05-01 12:40:00+00:00,0.03621209,19270,0.577620574922814,0.0
45,2025-05-01 10:45:00+00:00,2025-05-01 05:45:00-05:00,2025-05-01 12:45:00+00:00,0.03621209,19345,0.5798687089715536,0.0
46,2025-05-01 10:50:00+00:00,2025-05-01 05:50:00-05:00,2025-05-01 12:50:00+00:00,0.03621209,19474,0.5837354995353856,0.0
47,2025-05-01 10:55:00+00:00,2025-05-01 05:55:00-05:00,2025-05-01 12:55:00+00:00,0.03621209,19615,0.587961991547016,0.0
48,2025-05-01 11:00:00+00:00,2025-05-01 06:00:00-05:00,2025-05-01 13:00:00+00:00,0.038170670000000004,19744,0.591828782110848,4.639079606606049e-05
49,2025-05-01 11:05:00+00:00,2025-05-01 06:05:00-05:00,2025-05-01 13:05:00+00:00,0.038170670000000004,19841,0.5947363688138845,0.0016700686583781777
50,2025-05-01 11:10:00+00:00,2025-05-01 06:10:00-05:00,2025-05-01 13:10:00+00:00,0.038170670000000004,19847,0.5949162195377836,0.005010205975134533
51,2025-05-01 11:15:00+00:00,2025-05-01 06:15:00-05:00,2025-05-01 13:15:00+00:00,0.038170670000000004,19877,0.5958154731572795,0.010623492299127853
52,2025-05-01 11:20:00+00:00,2025-05-01 06:20:00-05:00,2025-05-01 13:20:00+00:00,0.038170670000000004,19852,0.5950660951410329,0.019344961959547227
53,2025-05-01 11:25:00+00:00,2025-05-01 06:25:00-05:00,2025-05-01 13:25:00+00:00,0.038170670000000004,19678,0.5898504241479572,0.03191686769344962
