Time,Hour ahead forecast,Current demand,Net demand,Net demand forecast,Demand response
00:00,21385,21173,15908,17008,
00:05,21385,21573,16080,16785,
00:10,21385,21689,16405,16785,
00:15,21385,21660,16294,16785,
00:20,21263,21639,16248,16785,
00:25,21263,21618,16176,16785,
00:30,21263,21388,16035,16785,
00:35,21075,21433,15892,16785,
00:40,21075,21320,15861,16785,
00:45,21075,21321,15821,16785,
00:50,21030,21206,15740,16785,
00:55,21030,21164,15730,16785,
01:00,21030,21036,15674,16785,
01:05,20879,21039,15696,16038,
01:10,20879,21019,15654,16038,
01:15,20879,20969,15608,16038,
01:20,20712,20940,15581,16038,
01:25,20712,20843,15512,16038,
01:30,20712,20779,15434,16038,
01:35,20583,20714,15344,16038,
01:40,20583,20622,15251,16038,
01:45,20583,20620,15198,16038,
01:50,20407,20552,15180,16038,
01:55,20407,20455,15069,16038,
02:00,20407,20355,15042,16038,
02:05,20277,20379,14977,15408,
02:10,20277,20298,15038,15408,
02:15,20277,20186,14845,15408,
02:20,20116,20090,14672,15408,
02:25,20116,20042,14683,15408,
02:30,20116,19970,14661,15408,
02:35,20000,19905,14692,15408,
02:40,20000,19894,14685,15408,
02:45,20000,19860,14795,15408,
02:50,19846,19824,14787,15408,
02:55,19846,19768,14772,15408,
03:00,19846,19691,14726,15408,
03:05,19718,19691,14704,15043,
03:10,19718,19793,14808,15043,
03:15,19718,19710,14799,15043,
03:20,19622,19672,14747,15043,
03:25,19622,19614,14718,15043,
03:30,19622,19573,14680,15043,
03:35,19553,19577,14661,15043,
03:40,19553,19525,14609,15043,
03:45,19553,19486,14571,15043,
03:50,19477,19421,14526,15043,
03:55,19477,19400,14485,15043,
04:00,19477,19450,14520,15043,
04:05,19480,19337,14529,14926,
04:10,19480,19268,14412,14926,
04:15,19480,19316,14476,14926,
04:20,19461,19305,14535,14926,
04:25,19461,19286,14499,14926,
04:30,19461,19315,14533,14926,
04:35,19383,19315,14534,14926,
04:40,19383,19463,14587,14926,
04:45,19383,19481,14758,14926,
04:50,19286,19477,14744,14926,
04:55,19286,19390,14689,14926,
05:00,19286,19310,14561,14926,
05:05,19337,19470,14692,15107,
05:10,19337,19561,14786,15107,
05:15,19337,19602,14815,15107,
05:20,19512,19619,14894,15107,
05:25,19512,19648,14861,15107,
05:30,19512,19678,14858,15107,
05:35,19585,19583,14825,15107,
05:40,19585,19594,14791,15107,
05:45,19585,19589,14793,15107,
05:50,19648,19659,14823,15107,
05:55,19648,19710,14882,15107,
06:00,19648,19582,14864,15107,
06:05,19746,19638,14808,13727,
06:10,19746,19735,14934,13727,
06:15,19746,19702,14818,13727,
06:20,19600,19636,14683,13727,
06:25,19600,19622,14482,13727,
06:30,19600,19628,14354,13727,
06:35,19622,19534,14034,13727,
06:40,19622,19612,13756,13727,
06:45,19622,19616,13365,13727,
06:50,19537,19584,12984,13727,
06:55,19537,19513,12498,13727,
07:00,19537,19506,12039,13727,
07:05,19542,19665,11689,8921,
07:10,19542,19886,11430,8921,
07:15,19542,19914,10862,8921,
07:20,19419,19727,10139,8921,
07:25,19419,19633,9559,8921,
07:30,19419,19648,9001,8921,
07:35,19358,19667,8170,8921,
07:40,19358,19630,7427,8921,
07:45,19358,19505,6774,8921,
07:50,19377,19448,5959,8921,
07:55,19377,19392,5479,8921,
08:00,19377,19512,4914,8921,
08:05,19294,19348,4412,3624,
08:10,19294,19394,4273,3624,
08:15,19294,19489,4163,3624,
08:20,19123,19320,3700,3624,
08:25,19123,19281,3439,3624,
08:30,19123,19165,3368,3624,
08:35,18902,19167,2945,3624,
08:40,18902,19126,2817,3624,
08:45,18902,19019,2495,3624,
08:50,18707,18681,2185,3624,
08:55,18707,18593,2033,3624,
