Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other
00:00,-61,2950,651,247,152,322,0,2282,11497,3613,849,4746,0
00:05,-60,2955,656,247,154,323,0,2280,11415,3454,1192,4805,0
00:10,-60,2938,638,246,154,324,0,2281,11398,3460,1307,4759,0
00:15,-61,2874,635,246,153,319,0,2281,11401,3457,1032,4937,0
00:20,-61,2791,632,246,154,314,0,2282,11387,3450,1204,4809,0
00:25,-61,2695,631,247,154,314,0,2282,11383,3465,956,5012,0
00:30,-61,2623,627,244,154,314,0,2282,11322,3460,639,5314,0
00:35,-60,2566,628,240,153,314,0,2282,11241,3453,703,5275,0
00:40,-60,2487,635,240,153,314,0,2281,11209,3457,651,5315,0
00:45,-60,2426,634,242,153,314,0,2281,11253,3440,480,5300,0
00:50,-60,2366,635,244,154,313,0,2281,11330,3452,267,5310,0
00:55,-60,2297,635,243,153,314,0,2280,11346,3455,56,5434,0
01:00,-60,2222,636,243,154,314,0,2281,11317,3444,36,5378,0
01:05,-61,2137,637,243,156,314,0,2281,11311,3435,460,4927,0
01:10,-62,2073,637,244,154,315,0,2281,11306,3425,511,4877,0
01:15,-62,2016,637,241,154,315,0,2280,11251,3426,438,4898,0
01:20,-62,1988,637,240,154,315,0,2281,11181,3427,416,4878,0
01:25,-62,1961,657,243,154,315,0,2281,11074,3400,410,4966,0
01:30,-62,1943,659,242,154,315,0,2281,11091,3384,253,5007,0
01:35,-62,1929,659,241,154,315,0,2281,11112,3383,95,5013,0
01:40,-62,1942,658,241,154,315,0,2282,11101,3378,-4,5037,0
01:45,-62,1936,658,242,154,315,0,2281,11095,3375,-131,5074,0
01:50,-62,1871,660,245,154,315,0,2280,11093,3365,-335,5206,0
01:55,-61,1809,660,244,154,314,0,2281,11100,3378,-466,5222,0
02:00,-62,1733,660,245,154,315,0,2281,11075,3372,-513,5294,0
02:05,-62,1640,661,244,155,315,0,2281,10991,3330,-111,5140,0
02:10,-62,1572,661,244,154,315,0,2280,10838,3330,77,5138,0
02:15,-62,1523,661,241,154,315,0,2279,10716,3328,120,5115,0
02:20,-62,1500,661,238,154,315,0,2281,10697,3313,120,5063,0
02:25,-61,1501,660,239,154,315,0,2281,10700,3310,-13,5102,0
02:30,-61,1511,659,242,154,315,0,2282,10698,3313,-282,5241,0
02:35,-61,1509,659,241,155,315,0,2280,10694,3303,-568,5432,0
02:40,-62,1497,660,243,155,315,0,2279,10664,3293,-687,5521,0
02:45,-62,1487,662,245,154,315,0,2281,10658,3180,-813,5559,0
02:50,-61,1471,662,245,155,315,0,2281,10625,3135,-921,5643,0
02:55,-61,1469,662,244,155,316,0,2281,10539,3125,-955,5719,0
03:00,-60,1482,662,245,155,317,0,2282,10386,3072,-894,5793,0
03:05,-60,1493,663,247,155,316,0,2282,10286,2960,-805,5900,0
03:10,-61,1513,662,248,155,318,0,2281,10190,2910,-800,5992,0
03:15,-61,1516,664,247,155,319,0,2282,10210,2905,-902,6008,0
03:20,-61,1487,663,247,155,319,0,2281,10215,2906,-1035,6117,0
03:25,-61,1467,663,247,155,318,0,2281,10127,2905,-1071,6171,0
03:30,-61,1476,664,246,155,317,0,2281,10133,2909,-1154,6171,0
03:35,-61,1506,665,246,156,317,0,2280,10204,2898,-1190,6074,0
03:40,-61,1555,668,246,155,315,0,2281,10256,2894,-1303,6054,0
03:45,-61,1545,667,247,155,315,0,2281,10281,2881,-1331,6018,0
03:50,-61,1486,668,247,155,315,0,2280,10258,2882,-1293,5964,0
03:55,-61,1443,668,248,155,314,0,2281,10214,2880,-1231,5895,0
04:00,-61,1404,667,249,155,312,0,2280,10275,2881,-1236,5817,0
04:05,-61,1366,666,248,156,307,0,2280,10322,2853,-1055,5663,0
04:10,-60,1336,662,247,155,304,0,2281,10292,2854,-1007,5640,0
04:15,-60,1308,663,247,155,300,0,2281,10323,2852,-1098,5666,0
04:20,-61,1281,662,247,155,300,0,2280,10355,2852,-1134,5622,0
