timestep,net_demand_normalized,net_demand_mw
0,0.4983895,12696.0
1,0.51054895,13005.75
2,0.52270836,13315.5
3,0.5348678,13625.25
4,0.54702723,13935.0
5,0.55918664,14244.75
6,0.5713461,14554.5
7,0.5835055,14864.25
8,0.595665,15174.0
9,0.6078244,15483.75
10,0.61998385,15793.5
11,0.63214326,16103.25
12,0.64430267,16413.0
13,0.6613691,16847.75
14,0.67843544,17282.5
15,0.69550186,17717.25
16,0.7125682,18152.0
17,0.72963464,18586.75
18,0.746701,19021.5
19,0.7637674,19456.25
20,0.7808338,19891.0
21,0.79790014,20325.75
22,0.81496656,20760.5
23,0.8320329,21195.25
24,0.84909934,21630.0
25,0.8566135,21821.416
26,0.8641277,22012.834
27,0.8716419,22204.25
28,0.87915605,22395.666
29,0.88667023,22587.084
30,0.8941844,22778.5
31,0.9016986,22969.916
32,0.90921277,23161.334
33,0.91672695,23352.75
34,0.9242411,23544.166
35,0.9317553,23735.584
36,0.9392695,23927.0
37,0.94163793,23987.334
38,0.9440064,24047.666
39,0.9463748,24108.0
40,0.9487432,24168.334
41,0.9511116,24228.666
42,0.95348006,24289.0
43,0.95584846,24349.334
44,0.9582169,24409.666
45,0.9605853,24470.0
46,0.96295375,24530.334
47,0.96532214,24590.666
48,0.9676906,24651.0
49,0.96429825,24564.584
50,0.9609059,24478.166
51,0.9575136,24391.75
52,0.95412123,24305.334
53,0.9507289,24218.916
54,0.94733655,24132.5
55,0.9439442,24046.084
56,0.9405519,23959.666
57,0.93715954,23873.25
58,0.9337672,23786.834
59,0.93037486,23700.416
60,0.9269825,23614.0
61,0.92051184,23449.166
62,0.9140412,23284.334
63,0.9075706,23119.5
64,0.9010999,22954.666
65,0.8946293,22789.834
66,0.8881587,22625.0
67,0.88168806,22460.166
68,0.8752174,22295.334
69,0.86874676,22130.5
70,0.86227614,21965.666
71,0.8558055,21800.834
72,0.84933484,21636.0
73,0.84305394,21476.0
74,0.83677304,21316.0
75,0.83049214,21156.0
76,0.82421124,20996.0
77,0.81793034,20836.0
78,0.81164944,20676.0
79,0.80536854,20516.0
80,0.79908764,20356.0
81,0.79280674,20196.0
82,0.78652585,20036.0
83,0.78024495,19876.0
84,0.77396405,19716.0
85,0.76839304,19574.084
86,0.762822,19432.166
87,0.75725096,19290.25
88,0.75167996,19148.334
89,0.7461089,19006.416
90,0.7405379,18864.5
91,0.7349668,18722.584
92,0.7293958,18580.666
93,0.7238248,18438.75
94,0.71825373,18296.834
95,0.7126827,18154.916
96,0.7071117,18013.0
97,0.70376843,17927.834
98,0.70042515,17842.666
99,0.69708186,17757.5
100,0.69373864,17672.334
101,0.69039536,17587.166
102,0.6870521,17502.0
103,0.6837088,17416.834
104,0.6803655,17331.666
105,0.6770223,17246.5
106,0.673679,17161.334
107,0.6703357,17076.166
108,0.6669924,16991.0
109,0.665576,16954.916
110,0.6641595,16918.834
111,0.66274303,16882.75
112,0.6613265,16846.666
113,0.6599101,16810.584
114,0.6584936,16774.5
