timestep,net_demand_normalized,net_demand_mw
0,0.747516,14278.0
1,0.7468005,14264.333
2,0.746085,14250.667
3,0.74536943,14237.0
4,0.74465394,14223.333
5,0.74393845,14209.667
6,0.7432229,14196.0
7,0.7425074,14182.333
8,0.7417919,14168.667
9,0.7410764,14155.0
10,0.74036086,14141.333
11,0.73964536,14127.667
12,0.73892987,14114.0
13,0.7357013,14052.333
14,0.73247284,13990.667
15,0.7292443,13929.0
16,0.7260158,13867.333
17,0.72278726,13805.667
18,0.7195587,13744.0
19,0.71633023,13682.333
20,0.7131017,13620.667
21,0.7098732,13559.0
22,0.70664465,13497.333
23,0.7034161,13435.667
24,0.7001876,13374.0
25,0.69447225,13264.833
26,0.6887569,13155.667
27,0.6830416,13046.5
28,0.6773262,12937.333
29,0.67161083,12828.167
30,0.66589546,12719.0
31,0.66018015,12609.833
32,0.6544648,12500.667
33,0.6487494,12391.5
34,0.64303404,12282.333
35,0.63731873,12173.167
36,0.63160336,12064.0
37,0.6262763,11962.25
38,0.62094927,11860.5
39,0.61562216,11758.75
40,0.6102951,11657.0
41,0.6049681,11555.25
42,0.599641,11453.5
43,0.5943139,11351.75
44,0.5889869,11250.0
45,0.5836598,11148.25
46,0.5783328,11046.5
47,0.57300574,10944.75
48,0.56767863,10843.0
49,0.5637346,10767.667
50,0.5597906,10692.333
51,0.5558466,10617.0
52,0.55190253,10541.667
53,0.5479585,10466.333
54,0.54401445,10391.0
55,0.5400704,10315.667
56,0.53612643,10240.333
57,0.5321824,10165.0
58,0.52823836,10089.667
59,0.5242943,10014.333
60,0.5203503,9939.0
61,0.51764965,9887.417
62,0.5149491,9835.833
63,0.51224846,9784.25
64,0.5095478,9732.667
65,0.5068472,9681.083
66,0.5041466,9629.5
67,0.501446,9577.917
68,0.49874538,9526.333
69,0.49604475,9474.75
70,0.49334413,9423.167
71,0.49064353,9371.583
72,0.4879429,9320.0
73,0.48635048,9289.583
74,0.48475802,9259.167
75,0.48316556,9228.75
76,0.48157313,9198.333
77,0.47998068,9167.917
78,0.47838825,9137.5
79,0.4767958,9107.083
80,0.47520334,9076.667
81,0.4736109,9046.25
82,0.47201845,9015.833
83,0.47042602,8985.417
84,0.46883357,8955.0
85,0.468009,8939.25
86,0.4671844,8923.5
87,0.46635982,8907.75
88,0.46553522,8892.0
89,0.46471065,8876.25
90,0.46388608,8860.5
91,0.46306148,8844.75
92,0.4622369,8829.0
93,0.46141234,8813.25
94,0.46058774,8797.5
95,0.45976317,8781.75
96,0.45893857,8766.0
97,0.459196,8770.917
98,0.4594534,8775.833
99,0.4597108,8780.75
100,0.4599682,8785.667
101,0.46022564,8790.583
102,0.46048304,8795.5
103,0.46074045,8800.417
104,0.46099785,8805.333
105,0.46125525,8810.25
106,0.46151268,8815.167
107,0.4617701,8820.083
108,0.4620275,8825.0
109,0.46414784,8865.5
110,0.4662682,8906.0
111,0.46838856,8946.5
112,0.4705089,8987.0
113,0.47262925,9027.5
114,0.4747496,9068.0
115,0.47686997,9108.5
116,0.47899032,9149.0
117,0.48111066,9189.5
118,0.483231,9230.0
119,0.48535138,9270.5
120,0.48747173,9311.0
121,0.49155974,9389.083
122,0.49564773,9467.167
123,0.49973574,9545.25
124,0.50382376,9623.333
125,0.50791174,9701.417
126,0.5119998,9779.5
127,0.5160878,9857.583
128,0.52017576,9935.667
129,0.5242638,10013.75
130,0.5283518,10091.833
131,0.53243977,10169.917
132,0.5365278,10248.0
133,0.53887063,10292.75
134,0.5412135,10337.5
135,0.5435564,10382.25
136,0.5458992,10427.0
137,0.5482421,10471.75
138,0.550585,10516.5
139,0.5529278,10561.25
140,0.5552707,10606.0
141,0.5576135,10650.75
142,0.5599564,10695.5
143,0.56229925,10740.25
144,0.5646421,10785.0
145,0.5657154,10805.5
146,0.5667886,10826.0
147,0.5678619,10846.5
148,0.56893516,10867.0
149,0.5700084,10887.5
150,0.5710817,10908.0
151,0.57215494,10928.5
152,0.57322824,10949.0
153,0.5743015,10969.5
154,0.5753747,10990.0
155,0.576448,11010.5
156,0.57752126,11031.0
157,0.5788476,11056.333
158,0.5801739,11081.667
159,0.58150023,11107.0
160,0.5828265,11132.333
161,0.5841528,11157.667
162,0.58547914,11183.0
163,0.58680546,11208.333
164,0.5881318,11233.667
165,0.58945805,11259.0
166,0.5907844,11284.333
167,0.5921107,11309.667
168,0.593437,11335.0
169,0.5951429,11367.583
170,0.5968488,11400.167
171,0.5985547,11432.75
172,0.60026056,11465.333
173,0.60196644,11497.917
174,0.60367227,11530.5
175,0.60537815,11563.083
176,0.60708404,11595.667
177,0.6087899,11628.25
178,0.6104958,11660.833
179,0.6122017,11693.417
180,0.6139076,11726.0
181,0.6155742,11757.833
182,0.6172408,11789.667
183,0.6189074,11821.5
184,0.62057406,11853.333
185,0.62224066,11885.167
186,0.62390727,11917.0
187,0.6255739,11948.833
188,0.6272405,11980.667
189,0.6289071,12012.5
190,0.63057375,12044.333
191,0.63224036,12076.167
192,0.63390696,12108.0
193,0.6359313,12146.667
194,0.63795567,12185.333
195,0.6399801,12224.0
196,0.64200443,12262.667
197,0.6440288,12301.333
198,0.6460532,12340.0
199,0.64807755,12378.667
200,0.6501019,12417.333
201,0.65212625,12456.0
202,0.65415066,12494.667
203,0.656175,12533.333
204,0.65819937,12572.0
205,0.6607822,12621.333
206,0.663365,12670.667
207,0.66594785,12720.0
208,0.66853064,12769.333
209,0.6711135,12818.667
210,0.6736963,12868.0
211,0.6762791,12917.333
212,0.6788619,12966.667
213,0.68144476,13016.0
214,0.68402755,13065.333
215,0.6866104,13114.667
216,0.6891932,13164.0
217,0.69160587,13210.083
218,0.69401854,13256.167
219,0.69643116,13302.25
220,0.69884384,13348.333
221,0.7012565,13394.417
222,0.7036692,13440.5
223,0.70608187,13486.583
224,0.7084945,13532.667
225,0.71090716,13578.75
226,0.71331984,13624.833
227,0.7157325,13670.917
228,0.7181452,13717.0
229,0.720488,13761.75
230,0.7228309,13806.5
231,0.7251738,13851.25
232,0.7275166,13896.0
233,0.7298595,13940.75
234,0.73220235,13985.5
235,0.7345452,14030.25
236,0.73688805,14075.0
237,0.7392309,14119.75
238,0.74157375,14164.5
239,0.74391663,14209.25
240,0.74625945,14254.0
241,0.7481006,14289.167
242,0.7499417,14324.333
243,0.75178283,14359.5
244,0.753624,14394.667
245,0.75546515,14429.833
246,0.7573063,14465.0
247,0.7591474,14500.167
248,0.76098853,14535.333
249,0.76282966,14570.5
250,0.7646708,14605.667
251,0.7665119,14640.833
252,0.76835304,14676.0
253,0.76893765,14687.167
254,0.76952225,14698.333
255,0.7701069,14709.5
256,0.7706915,14720.667
257,0.7712762,14731.833
258,0.7718608,14743.0
259,0.7724454,14754.167
260,0.77303004,14765.333
261,0.77361465,14776.5
262,0.77419925,14787.667
263,0.7747839,14798.833
264,0.7753685,14810.0
265,0.77465737,14796.417
266,0.7739462,14782.833
267,0.7732351,14769.25
268,0.77252394,14755.667
269,0.7718128,14742.083
270,0.77110165,14728.5
271,0.7703905,14714.917
272,0.76967937,14701.333
273,0.76896816,14687.75
274,0.768257,14674.167
275,0.7675459,14660.583
276,0.76683474,14647.0
277,0.7648322,14608.75
278,0.76282966,14570.5
279,0.76082706,14532.25
280,0.7588245,14494.0
281,0.756822,14455.75
282,0.7548194,14417.5
283,0.75281686,14379.25
284,0.7508143,14341.0
285,0.7488118,14302.75
286,0.7468092,14264.5
287,0.74480665,14226.25
288,0.7428041,14188.0
289,0.74207115,14174.0
290,0.74133813,14160.0
291,0.7406052,14146.0
292,0.7398722,14132.0
293,0.73913926,14118.0
294,0.7384063,14104.0
295,0.73767334,14090.0
296,0.7369404,14076.0
297,0.7362074,14062.0
298,0.73547447,14048.0
299,0.7347415,14034.0
300,0.73400855,14020.0
301,0.7309851,13962.25
302,0.7279616,13904.5
303,0.72493815,13846.75
304,0.7219147,13789.0
305,0.7188912,13731.25
306,0.71586776,13673.5
307,0.7128443,13615.75
308,0.7098208,13558.0
309,0.70679736,13500.25
310,0.7037739,13442.5
311,0.7007504,13384.75
312,0.69772696,13327.0
313,0.69222105,13221.833
314,0.68671507,13116.667
315,0.68120915,13011.5
316,0.6757032,12906.333
317,0.67019725,12801.167
318,0.6646913,12696.0
319,0.6591854,12590.833
320,0.6536795,12485.667
321,0.6481735,12380.5
322,0.6426676,12275.333
323,0.6371617,12170.167
324,0.6316557,12065.0
325,0.62634176,11963.5
326,0.62102777,11862.0
327,0.6157138,11760.5
328,0.61039984,11659.0
329,0.60508585,11557.5
330,0.5997719,11456.0
331,0.5944579,11354.5
332,0.58914393,11253.0
333,0.58383,11151.5
334,0.578516,11050.0
335,0.573202,10948.5
336,0.5678881,10847.0
337,0.56388295,10770.5
338,0.5598779,10694.0
339,0.55587274,10617.5
340,0.5518676,10541.0
341,0.5478625,10464.5
342,0.5438574,10388.0
343,0.5398523,10311.5
344,0.5358472,10235.0
345,0.53184205,10158.5
346,0.527837,10082.0
347,0.52383184,10005.5
348,0.5198267,9929.0
349,0.5173137,9881.0
350,0.5148007,9833.0
351,0.51228774,9785.0
352,0.5097747,9737.0
353,0.5072617,9689.0
354,0.5047487,9641.0
355,0.50223565,9593.0
356,0.49972266,9545.0
357,0.49720964,9497.0
358,0.49469662,9449.0
359,0.49218363,9401.0
360,0.4896706,9353.0
361,0.48811743,9323.333
362,0.48656425,9293.667
363,0.48501107,9264.0
364,0.4834579,9234.333
365,0.48190472,9204.667
366,0.48035154,9175.0
367,0.47879836,9145.333
368,0.47724518,9115.667
369,0.47569197,9086.0
370,0.4741388,9056.333
371,0.47258562,9026.667
372,0.47103244,8997.0
373,0.47012496,8979.667
374,0.4692175,8962.333
375,0.46831003,8945.0
376,0.46740255,8927.667
377,0.46649507,8910.333
378,0.4655876,8893.0
379,0.4646801,8875.667
380,0.46377262,8858.333
381,0.46286517,8841.0
382,0.4619577,8823.667
383,0.4610502,8806.333
384,0.46014273,8789.0
385,0.46033034,8792.583
386,0.46051794,8796.167
387,0.46070555,8799.75
388,0.46089315,8803.333
389,0.46108076,8806.917
390,0.46126837,8810.5
391,0.46145597,8814.083
392,0.46164355,8817.667
393,0.46183115,8821.25
394,0.46201876,8824.833
395,0.46220636,8828.417
396,0.46239397,8832.0
397,0.46461904,8874.5
398,0.46684408,8917.0
399,0.46906915,8959.5
400,0.47129422,9002.0
401,0.47351927,9044.5
402,0.47574434,9087.0
403,0.4779694,9129.5
404,0.48019448,9172.0
405,0.48241952,9214.5
406,0.4846446,9257.0
407,0.48686966,9299.5
408,0.4890947,9342.0
409,0.4936059,9428.167
410,0.49811712,9514.333
411,0.5026283,9600.5
412,0.5071395,9686.667
413,0.51165074,9772.833
414,0.5161619,9859.0
415,0.52067316,9945.167
416,0.52518433,10031.333
417,0.5296956,10117.5
418,0.53420675,10203.667
419,0.5387179,10289.833
420,0.54322916,10376.0
421,0.5455589,10420.5
422,0.5478887,10465.0
423,0.55021846,10509.5
424,0.5525482,10554.0
425,0.554878,10598.5
426,0.55720776,10643.0
427,0.55953753,10687.5
428,0.5618673,10732.0
429,0.56419706,10776.5
430,0.56652683,10821.0
431,0.5688566,10865.5
432,0.5711864,10910.0
433,0.57218987,10929.167
434,0.5731933,10948.333
435,0.57419676,10967.5
436,0.57520026,10986.667
437,0.5762037,11005.833
438,0.57720715,11025.0
439,0.5782106,11044.167
440,0.5792141,11063.333
441,0.58021754,11082.5
442,0.581221,11101.667
443,0.5822244,11120.833
444,0.58322793,11140.0
445,0.58464146,11167.0
446,0.58605504,11194.0
447,0.5874686,11221.0
448,0.5888822,11248.0
449,0.59029573,11275.0
450,0.5917093,11302.0
451,0.5931229,11329.0
452,0.5945364,11356.0
453,0.59595,11383.0
454,0.5973636,11410.0
455,0.5987772,11437.0
456,0.6001907,11464.0
457,0.6025161,11508.417
458,0.60484153,11552.833
459,0.60716695,11597.25
460,0.60949236,11641.667
461,0.6118178,11686.083
462,0.6141432,11730.5
463,0.6164686,11774.917
464,0.61879396,11819.333
465,0.6211194,11863.75
466,0.6234448,11908.167
467,0.6257702,11952.583
468,0.6280956,11997.0
469,0.6306828,12046.417
470,0.63326997,12095.833
471,0.63585716,12145.25
472,0.63844436,12194.667
473,0.6410315,12244.083
474,0.6436187,12293.5
475,0.6462059,12342.917
476,0.64879304,12392.333
477,0.65138024,12441.75
478,0.65396744,12491.167
479,0.6565546,12540.583
480,0.6591418,12590.0
481,0.6616417,12637.75
482,0.6641416,12685.5
483,0.66664153,12733.25
484,0.6691415,12781.0
485,0.6716414,12828.75
486,0.6741413,12876.5
487,0.6766412,12924.25
488,0.67914116,12972.0
489,0.68164104,13019.75
490,0.684141,13067.5
491,0.6866409,13115.25
492,0.68914086,13163.0
493,0.6918589,13214.917
494,0.694577,13266.833
495,0.697295,13318.75
496,0.7000131,13370.667
497,0.7027312,13422.583
498,0.7054492,13474.5
499,0.7081673,13526.417
500,0.71088535,13578.333
501,0.71360344,13630.25
502,0.71632147,13682.167
503,0.71903956,13734.083
504,0.72175765,13786.0
505,0.7238649,13826.25
506,0.7259722,13866.5
507,0.72807944,13906.75
508,0.7301867,13947.0
509,0.73229396,13987.25
510,0.7344012,14027.5
511,0.7365085,14067.75
512,0.73861575,14108.0
513,0.740723,14148.25
514,0.7428303,14188.5
515,0.74493754,14228.75
516,0.7470448,14269.0
517,0.7489034,14304.5
518,0.7507619,14340.0
519,0.7526205,14375.5
520,0.7544791,14411.0
521,0.7563377,14446.5
522,0.7581963,14482.0
523,0.7600549,14517.5
524,0.7619134,14553.0
525,0.763772,14588.5
526,0.7656306,14624.0
527,0.7674892,14659.5
528,0.7693478,14695.0
529,0.7705606,14718.167
530,0.7717735,14741.333
531,0.7729864,14764.5
532,0.77419925,14787.667
533,0.77541214,14810.833
534,0.77662504,14834.0
535,0.7778379,14857.167
536,0.77905077,14880.333
537,0.78026366,14903.5
538,0.78147656,14926.667
539,0.7826894,14949.833
540,0.7839023,14973.0
541,0.78442144,14982.917
542,0.78494066,14992.833
543,0.7854598,15002.75
544,0.78597903,15012.667
545,0.7864982,15022.583
546,0.78701735,15032.5
547,0.78753656,15042.417
548,0.7880557,15052.333
549,0.78857493,15062.25
550,0.7890941,15072.167
551,0.78961325,15082.083
552,0.79013246,15092.0
553,0.7899536,15088.583
554,0.7897747,15085.167
555,0.78959584,15081.75
556,0.78941697,15078.333
557,0.7892381,15074.917
558,0.78905916,15071.5
559,0.7888803,15068.083
560,0.7887014,15064.667
