timestep,net_demand_normalized,net_demand_mw
0,0.7971377,66840.0
1,0.79594505,66740.0
2,0.7947525,66640.0
3,0.79355985,66540.0
4,0.7923672,66440.0
5,0.79117465,66340.0
6,0.789982,66240.0
7,0.78878945,66140.0
8,0.7875968,66040.0
9,0.7864042,65940.0
10,0.7852116,65840.0
11,0.784019,65740.0
12,0.7828264,65640.0
13,0.78230464,65596.25
14,0.78178287,65552.5
15,0.7812611,65508.75
16,0.7807393,65465.0
17,0.7802176,65421.25
18,0.7796958,65377.5
19,0.77917403,65333.75
20,0.77865225,65290.0
21,0.77813053,65246.25
22,0.77760875,65202.5
23,0.777087,65158.75
24,0.7765652,65115.0
25,0.77392656,64893.75
26,0.7712879,64672.5
27,0.7686493,64451.25
28,0.76601064,64230.0
29,0.763372,64008.75
30,0.76073337,63787.5
31,0.7580947,63566.25
32,0.7554561,63345.0
33,0.75281745,63123.75
34,0.7501788,62902.5
35,0.7475402,62681.25
36,0.74490154,62460.0
37,0.7410375,62136.0
38,0.73717344,61812.0
39,0.7333094,61488.0
40,0.72944534,61164.0
41,0.72558135,60840.0
42,0.7217173,60516.0
43,0.71785325,60192.0
44,0.7139892,59868.0
45,0.71012515,59544.0
46,0.7062611,59220.0
47,0.70239705,58896.0
48,0.698533,58572.0
49,0.69658905,58409.0
50,0.6946451,58246.0
51,0.69270116,58083.0
52,0.6907572,57920.0
53,0.68881327,57757.0
54,0.6868693,57594.0
55,0.6849254,57431.0
56,0.68298143,57268.0
57,0.6810375,57105.0
58,0.67909354,56942.0
59,0.6771496,56779.0
60,0.67520565,56616.0
61,0.6745537,56561.332
62,0.67390174,56506.668
63,0.6732498,56452.0
64,0.6725978,56397.332
65,0.67194587,56342.668
66,0.6712939,56288.0
67,0.67064196,56233.332
68,0.66999,56178.668
69,0.66933805,56124.0
70,0.6686861,56069.332
71,0.66803414,56014.668
72,0.6673822,55960.0
73,0.66620946,55861.668
74,0.6650367,55763.332
75,0.66386396,55665.0
76,0.66269124,55566.668
77,0.6615185,55468.332
78,0.6603458,55370.0
79,0.6591731,55271.668
80,0.65800035,55173.332
81,0.6568276,55075.0
82,0.65565485,54976.668
83,0.6544821,54878.332
84,0.6533094,54780.0
85,0.6520721,54676.25
86,0.65083474,54572.5
87,0.6495974,54468.75
88,0.6483601,54365.0
89,0.6471228,54261.25
90,0.64588547,54157.5
91,0.64464813,54053.75
92,0.6434108,53950.0
93,0.64217347,53846.25
94,0.64093614,53742.5
95,0.6396988,53638.75
96,0.6384615,53535.0
97,0.6376654,53468.25
98,0.6368694,53401.5
99,0.6360733,53334.75
100,0.6352772,53268.0
101,0.63448113,53201.25
102,0.6336851,53134.5
103,0.63288903,53067.75
104,0.63209295,53001.0
105,0.6312969,52934.25
106,0.63050085,52867.5
107,0.6297048,52800.75
108,0.6289087,52734.0
109,0.63038456,52857.75
110,0.6318604,52981.5
111,0.63333625,53105.25
112,0.6348121,53229.0
113,0.6362879,53352.75
114,0.6377638,53476.5
115,0.63923967,53600.25
116,0.6407155,53724.0
117,0.64219135,53847.75
118,0.6436672,53971.5
119,0.64514303,54095.25
120,0.6466189,54219.0
121,0.650632,54555.5
122,0.65464514,54892.0
123,0.65865827,55228.5
124,0.6626714,55565.0
125,0.6666845,55901.5
126,0.6706976,56238.0
127,0.67471075,56574.5
128,0.6787238,56911.0
129,0.68273693,57247.5
130,0.68675005,57584.0
131,0.6907632,57920.5
132,0.6947763,58257.0
133,0.69999295,58694.418
134,0.7052096,59131.832
135,0.7104263,59569.25
136,0.7156429,60006.668
137,0.7208596,60444.082
138,0.72607625,60881.5
139,0.7312929,61318.918
140,0.73650956,61756.332
141,0.7417262,62193.75
142,0.7469429,62631.168
143,0.75215954,63068.582
144,0.7573762,63506.0
145,0.76007444,63732.25
146,0.76277274,63958.5
147,0.765471,64184.75
148,0.7681693,64411.0
149,0.7708675,64637.25
150,0.7735658,64863.5
151,0.7762641,65089.75
152,0.7789624,65316.0
153,0.7816606,65542.25
154,0.7843589,65768.5
155,0.78705716,65994.75
156,0.7897554,66221.0
157,0.7916338,66378.5
158,0.79351217,66536.0
159,0.7953905,66693.5
160,0.79726887,66851.0
161,0.7991472,67008.5
162,0.80102557,67166.0
163,0.8029039,67323.5
164,0.8047823,67481.0
165,0.8066606,67638.5
166,0.808539,67796.0
167,0.81041735,67953.5
168,0.8122957,68111.0
169,0.81361747,68221.836
170,0.8149393,68332.664
171,0.8162611,68443.5
172,0.8175829,68554.336
173,0.8189047,68665.164
174,0.8202265,68776.0
175,0.82154834,68886.836
176,0.82287014,68997.664
177,0.8241919,69108.5
178,0.8255137,69219.336
179,0.8268355,69330.164
180,0.82815737,69441.0
181,0.8295288,69556.0
182,0.8309003,69671.0
183,0.8322718,69786.0
184,0.8336433,69901.0
185,0.8350148,70016.0
186,0.8363863,70131.0
187,0.8377578,70246.0
188,0.8391293,70361.0
189,0.84050083,70476.0
190,0.8418723,70591.0
191,0.8432438,70706.0
192,0.8446153,70821.0
193,0.84563696,70906.664
194,0.84665865,70992.336
195,0.8476803,71078.0
196,0.84870195,71163.664
197,0.84972364,71249.336
198,0.85074526,71335.0
199,0.85176694,71420.664
200,0.8527886,71506.336
201,0.8538103,71592.0
202,0.85483193,71677.664
203,0.8558536,71763.336
204,0.8568753,71849.0
205,0.85726386,71881.586
206,0.8576525,71914.164
207,0.85804105,71946.75
208,0.8584297,71979.336
209,0.85881823,72011.914
210,0.85920686,72044.5
211,0.8595954,72077.086
212,0.859984,72109.664
213,0.8603726,72142.25
214,0.86076117,72174.836
215,0.8611498,72207.414
216,0.86153835,72240.0
217,0.8621267,72289.336
218,0.86271507,72338.664
219,0.8633034,72388.0
220,0.8638918,72437.336
221,0.86448014,72486.664
222,0.8650685,72536.0
223,0.86565685,72585.336
224,0.8662452,72634.664
225,0.86683357,72684.0
226,0.86742187,72733.336
227,0.8680102,72782.664
228,0.8685986,72832.0
229,0.8686264,72834.336
230,0.86865425,72836.664
231,0.8686821,72839.0
232,0.8687099,72841.336
233,0.86873776,72843.664
234,0.86876553,72846.0
235,0.86879337,72848.336
236,0.8688212,72850.664
237,0.86884904,72853.0
238,0.8688769,72855.336
239,0.8689047,72857.664
240,0.86893255,72860.0
241,0.8691492,72878.164
242,0.8693658,72896.336
243,0.8695825,72914.5
244,0.86979914,72932.664
245,0.8700158,72950.836
246,0.87023246,72969.0
247,0.8704491,72987.164
248,0.8706658,73005.336
249,0.87088245,73023.5
250,0.8710991,73041.664
251,0.8713158,73059.836
252,0.8715324,73078.0
253,0.8719627,73114.086
254,0.8723931,73150.164
255,0.8728234,73186.25
256,0.87325376,73222.336
257,0.87368405,73258.414
258,0.8741144,73294.5
259,0.87454474,73330.586
260,0.8749751,73366.664
261,0.8754054,73402.75
262,0.8758357,73438.836
263,0.87626606,73474.914
264,0.8766964,73511.0
265,0.8768832,73526.664
266,0.87707007,73542.336
267,0.87725693,73558.0
268,0.87744373,73573.664
269,0.8776306,73589.336
270,0.87781745,73605.0
271,0.87800425,73620.664
272,0.8781911,73636.336
273,0.878378,73652.0
274,0.87856483,73667.664
275,0.87875164,73683.336
276,0.8789385,73699.0
277,0.87870795,73679.664
278,0.87847733,73660.336
279,0.8782468,73641.0
280,0.87801623,73621.664
281,0.8777856,73602.336
282,0.8775551,73583.0
283,0.8773245,73563.664
284,0.8770939,73544.336
285,0.87686336,73525.0
286,0.8766328,73505.664
287,0.8764022,73486.336
288,0.87617165,73467.0
289,0.87575126,73431.75
290,0.87533087,73396.5
291,0.8749105,73361.25
292,0.8744901,73326.0
293,0.8740697,73290.75
294,0.8736493,73255.5
295,0.8732289,73220.25
296,0.8728085,73185.0
297,0.8723881,73149.75
298,0.87196773,73114.5
299,0.87154734,73079.25
300,0.87112695,73044.0
301,0.8716765,73090.086
302,0.8722261,73136.164
303,0.8727757,73182.25
304,0.8733253,73228.336
305,0.8738749,73274.414
306,0.87442446,73320.5
307,0.8749741,73366.586
308,0.8755237,73412.664
309,0.87607324,73458.75
310,0.87662286,73504.836
311,0.8771724,73550.914
312,0.877722,73597.0
313,0.87491447,73361.586
314,0.87210685,73126.164
315,0.86929923,72890.75
316,0.8664917,72655.336
317,0.86368406,72419.914
318,0.8608765,72184.5
319,0.8580689,71949.086
320,0.85526127,71713.664
321,0.8524537,71478.25
322,0.8496461,71242.836
323,0.84683853,71007.414
324,0.8440309,70772.0
325,0.83986676,70422.836
326,0.83570254,70073.664
327,0.8315384,69724.5
328,0.8273742,69375.336
329,0.82321,69026.164
330,0.81904584,68677.0
331,0.8148816,68327.836
332,0.81071746,67978.664
333,0.8065533,67629.5
334,0.8023891,67280.336
335,0.7982249,66931.164
336,0.79406077,66582.0
337,0.79041636,66276.414
338,0.78677195,65970.836
339,0.78312755,65665.25
340,0.77948314,65359.668
341,0.77583873,65054.082
342,0.7721943,64748.5
343,0.7685499,64442.918
344,0.7649055,64137.332
345,0.7612611,63831.75
346,0.7576167,63526.168
347,0.7539723,63220.582
348,0.7503279,62915.0
349,0.7479705,62717.332
350,0.7456131,62519.668
351,0.74325573,62322.0
352,0.7408984,62124.332
353,0.73854095,61926.668
354,0.7361836,61729.0
355,0.7338262,61531.332
356,0.7314688,61333.668
357,0.72911143,61136.0
358,0.72675407,60938.332
359,0.72439665,60740.668
360,0.7220393,60543.0
361,0.7201132,60381.5
362,0.71818715,60220.0
363,0.7162611,60058.5
364,0.714335,59897.0
365,0.71240896,59735.5
366,0.71048295,59574.0
367,0.7085569,59412.5
368,0.7066308,59251.0
369,0.70470476,59089.5
370,0.7027787,58928.0
371,0.70085263,58766.5
372,0.69892657,58605.0
373,0.6979814,58525.75
374,0.6970363,58446.5
375,0.6960912,58367.25
376,0.695146,58288.0
377,0.6942009,58208.75
378,0.6932557,58129.5
379,0.69231063,58050.25
380,0.6913655,57971.0
381,0.6904203,57891.75
382,0.6894752,57812.5
383,0.68853,57733.25
384,0.6875849,57654.0
385,0.68675506,57584.418
386,0.6859252,57514.832
387,0.6850953,57445.25
388,0.6842655,57375.668
389,0.6834356,57306.082
390,0.68260574,57236.5
391,0.6817759,57166.918
392,0.68094605,57097.332
393,0.68011624,57027.75
394,0.67928636,56958.168
395,0.6784565,56888.582
396,0.67762667,56819.0
397,0.6788898,56924.918
