timestep,net_demand_normalized,net_demand_mw
0,0.79134643,62996.0
1,0.7923849,63078.668
2,0.79342335,63161.332
3,0.7944618,63244.0
4,0.7955002,63326.668
5,0.7965387,63409.332
6,0.79757714,63492.0
7,0.7986156,63574.668
8,0.799654,63657.332
9,0.8006925,63740.0
10,0.80173093,63822.668
11,0.80276936,63905.332
12,0.8038078,63988.0
13,0.8031117,63932.582
14,0.80241555,63877.168
15,0.8017194,63821.75
16,0.80102324,63766.332
17,0.8003271,63710.918
18,0.799631,63655.5
19,0.7989349,63600.082
20,0.7982387,63544.668
21,0.7975426,63489.25
22,0.79684645,63433.832
23,0.7961503,63378.418
24,0.7954542,63323.0
25,0.7911727,62982.168
26,0.78689116,62641.332
27,0.7826097,62300.5
28,0.7783282,61959.668
29,0.7740467,61618.832
30,0.7697652,61278.0
31,0.7654837,60937.168
32,0.7612022,60596.332
33,0.7569207,60255.5
34,0.7526392,59914.668
35,0.7483577,59573.832
36,0.7440762,59233.0
37,0.73658305,58636.5
38,0.7290899,58040.0
39,0.7215968,57443.5
40,0.71410364,56847.0
41,0.7066105,56250.5
42,0.69911736,55654.0
43,0.69162416,55057.5
44,0.684131,54461.0
45,0.6766379,53864.5
46,0.66914475,53268.0
47,0.6616516,52671.5
48,0.6541585,52075.0
49,0.6482764,51606.75
50,0.6423943,51138.5
51,0.6365122,50670.25
52,0.63063014,50202.0
53,0.62474805,49733.75
54,0.61886597,49265.5
55,0.6129838,48797.25
56,0.60710174,48329.0
57,0.60121965,47860.75
58,0.59533757,47392.5
59,0.5894555,46924.25
60,0.5835734,46456.0
61,0.58119506,46266.668
62,0.57881665,46077.332
63,0.5764383,45888.0
64,0.5740599,45698.668
65,0.5716815,45509.332
66,0.56930315,45320.0
67,0.56692475,45130.668
68,0.5645464,44941.332
69,0.562168,44752.0
70,0.55978966,44562.668
71,0.55741125,44373.332
72,0.5550329,44184.0
73,0.5544153,44134.832
74,0.55379766,44085.668
75,0.55318004,44036.5
76,0.5525624,43987.332
77,0.5519448,43938.168
78,0.55132717,43889.0
79,0.5507095,43839.832
80,0.55009186,43790.668
81,0.54947424,43741.5
82,0.5488566,43692.332
83,0.548239,43643.168
84,0.54762137,43594.0
85,0.54551417,43426.25
86,0.5434069,43258.5
87,0.54129964,43090.75
88,0.5391924,42923.0
89,0.5370851,42755.25
90,0.5349779,42587.5
91,0.53287065,42419.75
92,0.5307634,42252.0
93,0.5286561,42084.25
94,0.52654886,41916.5
95,0.52444166,41748.75
96,0.5223344,41581.0
97,0.52342725,41668.0
98,0.52452016,41755.0
99,0.525613,41842.0
100,0.5267059,41929.0
101,0.5277988,42016.0
102,0.5288917,42103.0
103,0.52998453,42190.0
104,0.53107744,42277.0
105,0.5321703,42364.0
106,0.5332632,42451.0
107,0.53435606,42538.0
108,0.53544897,42625.0
109,0.53754365,42791.75
110,0.53963834,42958.5
111,0.541733,43125.25
112,0.5438277,43292.0
113,0.5459224,43458.75
114,0.5480171,43625.5
115,0.5501118,43792.25
116,0.55220646,43959.0
117,0.55430114,44125.75
118,0.5563958,44292.5
119,0.5584905,44459.25
120,0.5605852,44626.0
121,0.5623324,44765.082
122,0.5640795,44904.168
123,0.56582665,45043.25
124,0.5675738,45182.332
125,0.5693209,45321.418
126,0.5710681,45460.5
127,0.57281524,45599.582
128,0.5745624,45738.668
129,0.5763095,45877.75
130,0.5780567,46016.832
131,0.5798038,46155.918
132,0.58155096,46295.0
133,0.5840926,46497.332
134,0.58663434,46699.668
135,0.589176,46902.0
136,0.59171766,47104.332
137,0.5942594,47306.668
138,0.59680104,47509.0
139,0.5993427,47711.332
140,0.6018844,47913.668
141,0.6044261,48116.0
142,0.60696775,48318.332
143,0.60950947,48520.668
144,0.6120511,48723.0
145,0.6132278,48816.668
146,0.6144044,48910.332
147,0.61558104,49004.0
148,0.61675763,49097.668
149,0.6179343,49191.332
150,0.6191109,49285.0
151,0.62028754,49378.668
152,0.62146413,49472.332
153,0.6226408,49566.0
154,0.6238174,49659.668
155,0.62499404,49753.332
156,0.62617064,49847.0
157,0.6265088,49873.918
158,0.6268469,49900.832
159,0.62718505,49927.75
160,0.6275231,49954.668
161,0.62786126,49981.582
162,0.6281994,50008.5
163,0.62853754,50035.418
164,0.6288756,50062.332
165,0.62921375,50089.25
166,0.6295519,50116.168
167,0.62989,50143.082
168,0.63022816,50170.0
169,0.63109595,50239.082
170,0.6319638,50308.168
171,0.6328316,50377.25
172,0.6336994,50446.332
173,0.6345672,50515.418
174,0.63543504,50584.5
175,0.6363028,50653.582
176,0.6371707,50722.668
177,0.63803846,50791.75
178,0.6389063,50860.832
179,0.6397741,50929.918
180,0.6406419,50999.0
181,0.64231366,51132.082
182,0.64398545,51265.168
183,0.64565724,51398.25
184,0.64732903,51531.332
185,0.64900076,51664.418
186,0.65067255,51797.5
187,0.65234435,51930.582
188,0.6540161,52063.668
189,0.65568787,52196.75
190,0.65735966,52329.832
191,0.6590314,52462.918
192,0.6607032,52596.0
193,0.6624817,52737.582
194,0.66426027,52879.168
195,0.6660388,53020.75
196,0.6678174,53162.332
197,0.66959596,53303.918
198,0.6713745,53445.5
199,0.67315304,53587.082
200,0.6749316,53728.668
201,0.6767101,53870.25
202,0.6784887,54011.832
203,0.6802672,54153.418
204,0.68204576,54295.0
205,0.6842954,54474.082
206,0.686545,54653.168
207,0.6887946,54832.25
208,0.6910443,55011.332
209,0.69329387,55190.418
210,0.69554347,55369.5
211,0.6977931,55548.582
212,0.7000427,55727.668
213,0.7022923,55906.75
214,0.704542,56085.832
215,0.7067916,56264.918
216,0.7090412,56444.0
217,0.7118059,56664.082
218,0.7145705,56884.168
219,0.71733516,57104.25
220,0.7200998,57324.332
221,0.72286445,57544.418
222,0.72562915,57764.5
223,0.7283938,57984.582
224,0.73115844,58204.668
225,0.7339231,58424.75
226,0.7366877,58644.832
227,0.7394524,58864.918
228,0.74221706,59085.0
229,0.74520785,59323.082
230,0.74819857,59561.168
231,0.75118935,59799.25
232,0.75418013,60037.332
233,0.7571709,60275.418
234,0.76016164,60513.5
235,0.7631524,60751.582
236,0.7661432,60989.668
237,0.769134,61227.75
238,0.7721247,61465.832
239,0.7751155,61703.918
240,0.7781063,61942.0
241,0.78074527,62152.082
242,0.7833843,62362.168
243,0.7860234,62572.25
244,0.78866243,62782.332
245,0.7913014,62992.418
246,0.7939405,63202.5
247,0.79657954,63412.582
248,0.79921854,63622.668
249,0.8018576,63832.75
250,0.80449665,64042.832
251,0.80713564,64252.918
252,0.8097747,64463.0
253,0.8134867,64758.5
254,0.81719875,65054.0
255,0.82091075,65349.5
256,0.8246228,65645.0
257,0.8283348,65940.5
258,0.83204687,66236.0
259,0.83575886,66531.5
260,0.8394709,66827.0
261,0.8431829,67122.5
262,0.846895,67418.0
263,0.850607,67713.5
264,0.85431904,68009.0
265,0.85671836,68200.0
266,0.8591176,68391.0
267,0.86151695,68582.0
268,0.8639163,68773.0
269,0.8663156,68964.0
270,0.8687149,69155.0
271,0.8711142,69346.0
272,0.8735135,69537.0
273,0.87591285,69728.0
274,0.8783122,69919.0
275,0.8807115,70110.0
276,0.88311076,70301.0
277,0.88449156,70410.914
278,0.8858723,70520.836
279,0.88725305,70630.75
280,0.8886338,70740.664
281,0.8900146,70850.586
282,0.89139533,70960.5
283,0.8927761,71070.414
284,0.8941568,71180.336
285,0.8955376,71290.25
286,0.89691836,71400.164
287,0.8982991,71510.086
288,0.89967984,71620.0
289,0.8994831,71604.336
290,0.89928627,71588.664
291,0.89908946,71573.0
292,0.89889264,71557.336
293,0.8986959,71541.664
294,0.8984991,71526.0
295,0.89830226,71510.336
296,0.89810544,71494.664
297,0.8979086,71479.0
298,0.8977119,71463.336
299,0.89751506,71447.664
300,0.89731824,71432.0
301,0.8959092,71319.836
302,0.8945002,71207.664
303,0.8930912,71095.5
304,0.89168215,70983.336
305,0.89027315,70871.164
306,0.8888641,70759.0
307,0.8874551,70646.836
308,0.88604605,70534.664
