interaction_count,mean_raw_joint_reward,mean_raw_ramp_reward,mean_raw_peak_reward,mean_raw_ramp_squared,mean_raw_peak_increment,mean_raw_incremental_ramp_impact,episode_count,mean_completed_episode_return,elapsed_seconds
2048,-0.001675084916693643,-0.0006948220371307534,-0.0009802628795628897,0.008405670704289808,0.007184539827434495,3.750998474466706e-05,0,nan,12.359008799998264
4096,-0.0016347949247199215,-0.00069796726161094,-0.0009368276631089816,0.008396788574140505,0.006866194566145512,4.6654384275256754e-05,4,-1.0503938110312405,27.926829699994414
6144,-0.0014180088933732874,-0.0005786270484285309,-0.0008393818449447569,0.00695341097984777,0.0061519949609028885,4.048010015018771e-05,4,-0.8929296151621283,44.70067099999869
8192,-0.0007964316392054843,-0.0007326224321859934,-6.3809207019491e-05,0.008943962418203232,0.000467670253302838,3.564118634904487e-05,0,nan,57.427162599997246
10240,-0.0017187685706757873,-0.0007030271839345271,-0.00101574138674126,0.00863688277288956,0.0074445687983923535,3.3445262804969914e-05,4,-1.005258402128117,73.41758509999636
12288,-0.001720714634197696,-0.0007243239434904767,-0.0009963906907072193,0.008911765527560834,0.007302743733663658,3.877760852696922e-05,4,-1.0358936494776134,89.58765549999953
14336,-0.0008837651068810397,-0.0008075556232756398,-7.620948360539994e-05,0.009935811772858192,0.000558554324157783,4.403695862965495e-05,0,nan,102.95044389999384
16384,-0.0017055524251456443,-0.0006917885808369501,-0.0010137638443086943,0.008325252996933215,0.007430075000184319,2.6849049240791298e-05,4,-1.1385748652814534,119.49169749999419
18432,-0.001601149634664025,-0.0006241251184784557,-0.0009770245161855695,0.007423293236804362,0.007160805224048886,4.218914189029472e-05,4,-0.9946801985758152,135.52950459999556
20480,-0.001077872339547458,-0.0007817472211556354,-0.0002961251183918225,0.00938292608913836,0.002170359350890132,4.622603254165729e-05,1,-1.105698238659659,150.30198159999418
22528,-0.001473046015813827,-0.000693188754742002,-0.0007798572610718251,0.00830013325658328,0.0057157275550237235,3.8626349519735575e-05,3,-1.0627557075859444,165.92187629999535
24576,-0.0016464545425046377,-0.0007022366924939689,-0.0009442178500106689,0.0084985871550881,0.006920358702352559,3.91558118300298e-05,4,-0.9889929684698702,183.64424419999705
26624,-0.0015889443135768538,-0.0007685056444597712,-0.0008204386691170828,0.009346777151617464,0.00601315669207779,5.592159741399409e-05,4,-1.0568540069873866,200.69770209999842
28672,-0.0007491037342594631,-0.0006426529284433171,-0.00010645080581614595,0.007526110886992643,0.0007801989343813869,4.648268305769695e-05,0,nan,215.46138629999768
30720,-0.0014534338118691323,-0.0005849098356307118,-0.0008685239762384206,0.006946843771131771,0.006365583384274603,4.6612873731651334e-05,4,-0.9311272609816187,233.78304349999962
32768,-0.001481849856035318,-0.0006186866977911465,-0.0008631631582441717,0.007300838052797597,0.006326292892723515,3.7616588952363766e-05,4,-0.8595028226491529,252.57352159999573
34816,-0.0009181304195160836,-0.0007059022596205852,-0.00021222815989549828,0.008274087285587189,0.0015554620082648162,3.961731922063008e-05,1,-0.9352653030933189,267.7950931999949
36864,-0.0015216082644878251,-0.0007311394465830269,-0.000790468817904798,0.00881632659489558,0.00579350174630145,4.173537934392164e-05,3,-0.9683738104061342,283.06726419999904
38912,-0.001684882828140936,-0.0007355874547113324,-0.0009492953734296036,0.00887595329404961,0.006957572872131522,4.8227764121538936e-05,4,-1.0462264307287772,301.07543799999985
40960,-0.0015359382540801087,-0.000620478517993726,-0.0009154597360863825,0.007462026870239957,0.006709584817960381,3.987527396112292e-05,4,-0.9553347441217308,316.9883525999976
43008,-0.0009010481516504819,-0.0007421940542680661,-0.00015885409738241568,0.00913163156765607,0.0011642729855322474,3.9565255292826855e-05,0,nan,330.0000755999936
45056,-0.0016053965319845524,-0.0007042965600332341,-0.0009010999719513184,0.008582632151941768,0.006604339276696042,4.2235883088975526e-05,4,-1.089882611835385,345.7227238999985
47104,-0.0015620825065747737,-0.0006195128577617899,-0.000942569648812984,0.007514775844010576,0.006908278710959155,3.644758502281529e-05,4,-0.943622214018128,362.380997399996
49152,-0.0009104051742459127,-0.0007443847053830485,-0.00016602046886286418,0.008932349648533056,0.0012167967344091117,5.0906223917305816e-05,0,nan,376.5310666000005
51200,-0.0017032936563169596,-0.000715115408873142,-0.0009881782474438173,0.008718267634932645,0.007242553118537267,4.771724798366815e-05,4,-1.0788495236539908,395.96138719999726
