interaction_count,mean_raw_joint_reward,mean_raw_ramp_reward,mean_raw_peak_reward,mean_raw_ramp_squared,mean_raw_peak_increment,mean_raw_incremental_ramp_impact,episode_count,mean_completed_episode_return,elapsed_seconds
2048,-0.000983371068636013,-3.1081890731233558e-06,-0.0009802628795628897,0.008405670704289808,0.007184539827434495,3.750998474466706e-05,0,nan,11.243549399994663
4096,-0.0009406641950433179,-3.847770067387584e-06,-0.0009368164249759302,0.008396569523473722,0.006866112199653648,4.643533360847343e-05,4,-0.5354422346160208,25.934931999989203
6144,-0.0008427141041733189,-3.334584121712886e-06,-0.0008393795200516062,0.0069531730260383035,0.006151977921302816,4.024214634072079e-05,4,-0.46312154909929304,40.77020709999488
8192,-6.675891952937806e-05,-2.9585044562424206e-06,-6.380041507313563e-05,0.00894402480535307,0.0004676058153953463,3.570357349888234e-05,0,nan,52.45835349999834
10240,-0.001018514874212556,-2.7845785859954527e-06,-0.0010157302956265604,0.00863704212609209,0.007444487509426963,3.3604616007499444e-05,4,-0.4585632522982508,67.07917109999107
12288,-0.000999476444749686,-3.1012345008457775e-06,-0.0009963752102488403,0.008910413975197,0.007302630274333421,3.742605616313598e-05,4,-0.5302065622005682,81.8336888999911
14336,-7.974993971336409e-05,-3.5245216443935095e-06,-7.622541806897058e-05,0.00993430914853163,0.0005586711109815413,4.253433430309295e-05,0,nan,93.45775969998795
16384,-0.0010157761563997167,-2.062303737386492e-06,-0.0010137138526623301,0.008323292067400826,0.007429708601556125,2.488811970840072e-05,4,-0.539491231637059,108.0285823999875
18432,-0.0009802849764465919,-3.3281904093198955e-06,-0.000976956786037272,0.0074212690811951264,0.0071603088164442445,4.0164986281058814e-05,4,-0.5319619810750602,122.77371029999631
20480,-0.0002998770552997024,-3.736893007634787e-06,-0.00029614016229206766,0.009381797313041267,0.0021704696105997712,4.509725644456343e-05,1,-0.5730713831270204,135.16956399999617
22528,-0.0007828381657261689,-3.021040774439989e-06,-0.0007798171249517289,0.00829796517607367,0.005715433389489802,3.6458269010124596e-05,3,-0.5333446008147603,149.22550429998955
24576,-0.0009473938497800135,-3.1578919241025967e-06,-0.0009442359578559109,0.008497541147749265,0.006920491418318903,3.8109804491193725e-05,4,-0.5048051268116702,163.8231892999902
26624,-0.0008251072462690149,-4.841954985616937e-06,-0.0008202652912833979,0.009349288826238093,0.0060118859717666635,5.843327203462176e-05,4,-0.49329364651985635,178.27437179999833
28672,-0.00011067571775716728,-4.037450142068056e-06,-0.00010663826761509921,0.00752835261859359,0.0007815728788495308,4.872441465864332e-05,0,nan,190.04734079999616
30720,-0.0008726653699839065,-4.081684703484486e-06,-0.000868583685280422,0.006949489139855233,0.006366021003610455,4.925824245511325e-05,4,-0.46743279028658874,204.75931159999163
32768,-0.0008664276962216041,-3.2354803841230063e-06,-0.0008631922158374812,0.007302267614833779,0.006326505861551341,3.904615098854603e-05,4,-0.4588520780580312,219.4901014999923
34816,-0.00021556932398649866,-3.4239041295796835e-06,-0.00021214541985691888,0.008275790036879088,0.0015548555902162593,4.132007051253134e-05,1,-0.49738505769203806,231.9812496999948
36864,-0.000793985821842246,-3.4711592385007172e-06,-0.0007905146626037455,0.008816481566176832,0.005793837751134776,4.1890350625174017e-05,3,-0.4442968540825382,245.92892599999323
38912,-0.0009533472665375522,-4.107473486807601e-06,-0.0009492397930507446,0.00887729499439905,0.006957165512581487,4.9569464470980346e-05,4,-0.49639677661951054,260.425159099992
40960,-0.0009190364961897713,-3.5273888498709396e-06,-0.0009155091073399004,0.007464720532348805,0.006709946669607142,4.2568936069970055e-05,4,-0.5044753710605838,275.31249189999653
43008,-0.00016221541330944112,-3.491326557091038e-06,-0.00015872408675235005,0.009134200044518582,0.001163320112002942,4.2133732155340584e-05,0,nan,287.0671566999954
45056,-0.0009047054897682402,-3.5792483210623753e-06,-0.0009011262414471777,0.008583591051011112,0.006604531811008199,4.31947821583171e-05,4,-0.535499662122287,302.191210399993
47104,-0.0009460379288840593,-3.2975288046917744e-06,-0.0009427404000793676,0.007518123217482612,0.0069095301806409055,3.979495849484948e-05,4,-0.47568927277119977,316.70173339999747
49152,-0.00017035408063407868,-4.463746995358232e-06,-0.00016589033363872046,0.008935312438939158,0.0012158429477052536,5.3869014323407486e-05,0,nan,328.4113217999984
51200,-0.000992326385477015,-4.127516688663741e-06,-0.0009881988687883516,0.00872036173509504,0.007242704256435261,4.9811348146062775e-05,4,-0.5552023806870885,343.27987899999425
