interaction_count,mean_raw_joint_reward,mean_raw_ramp_reward,mean_raw_peak_reward,mean_raw_ramp_squared,mean_raw_peak_increment,mean_raw_incremental_ramp_impact,episode_count,mean_completed_episode_return,elapsed_seconds
2048,-1.3127800169549923e-05,-2.7047683482939334e-06,-1.0423031821255993e-05,0.009661481095195348,0.007164732100578624,3.264145684046591e-05,0,nan,11.010352800018154
4096,-1.3177436290290694e-05,-2.749503436362092e-06,-1.0427932853928602e-05,0.008034983413934904,0.007079636655419383,3.318132505038204e-05,4,-0.007335611658930345,23.528145499993116
6144,-1.51028753940495e-05,-3.6625293665915704e-06,-1.1440346027457932e-05,0.00697888659640652,0.006169911677023896,4.419982743510939e-05,4,-0.008023356498224565,35.29766019998351
8192,-3.7111286478162503e-06,-3.4521177327276342e-06,-2.590109150886159e-07,0.008346565534652323,0.0008090870232834676,4.166055553412247e-05,0,nan,40.38012459996389
10240,-1.306327839358208e-05,-2.3991508067189932e-06,-1.0664127586863088e-05,0.007506130648044769,0.00688515502923812,2.89532290484999e-05,4,-0.007936038924866471,46.653119799972046
12288,-1.4732297251547916e-05,-2.992262255199544e-06,-1.1740034996348372e-05,0.00817090155018977,0.006598908035248087,3.611096651587884e-05,4,-0.007936837580383417,52.81426129996544
14336,-4.6747319578568535e-06,-1.7206932944567728e-06,-2.954038663400081e-06,0.008635856575669287,0.002145332789751406,2.0765525425538654e-05,1,-0.00716725268513106,58.241253399988636
16384,-1.097110770753066e-05,-2.694716095030584e-06,-8.276391612500073e-06,0.00899325827064225,0.005976310032539665,3.252014508700207e-05,3,-0.007019676401123262,64.16014130000258
18432,-1.1776015850207323e-05,-1.6513470368453968e-06,-1.0124668813361926e-05,0.009624385355983336,0.006716989900134295,1.9928646778871057e-05,4,-0.00719703841009524,70.35350520000793
20480,-9.053758668429235e-06,-1.6807056528679121e-06,-7.373053015561321e-06,0.008429777870691869,0.004403537147521523,2.0282949948086718e-05,3,-0.006688430500216232,76.13509090000298
22528,-2.679762595155753e-06,-4.4144747311834116e-07,-2.238315122037412e-06,0.007861458934756652,0.002841599309092311,5.327439094817135e-06,1,-0.0069113045595091014,81.56929319998017
24576,-1.1286573706401382e-05,-8.061242068899119e-07,-1.0480449499511471e-05,0.007784045293191875,0.006896666977784928,9.728400039821958e-06,4,-0.005312571859630419,87.73839909996605
26624,-1.1100194704208359e-05,-3.895276158141384e-07,-1.0710667088394219e-05,0.007717874718517707,0.006766093336801952,4.700864259886353e-06,4,-0.005955865263005019,93.98182489996543
28672,-3.954050636911489e-07,1.0221166521264317e-07,-4.976167289037918e-07,0.008056897655790915,0.000498150073106153,-1.233502181706278e-06,0,nan,99.0557606999646
30720,-9.521910502750302e-06,4.661695357272223e-07,-9.98808003847753e-06,0.008722083854939982,0.007610843077866028,-5.625787801893695e-06,4,-0.005533655239972397,105.21277139999438
32768,-7.785225936836332e-06,1.3440948072947576e-06,-9.129320744131091e-06,0.008211109976824053,0.007363769941743483,-1.6220691383600284e-05,4,-0.004172912473456731,111.31896130001405
34816,1.4378397380190404e-06,1.5881243745781917e-06,-1.502846365591514e-07,0.009213825767577361,0.0003523776374331789,-1.916566838812051e-05,0,nan,116.36620759998914
36864,-7.88965273467342e-06,1.9049934431965155e-06,-9.794646177869938e-06,0.009192414452490567,0.007858364718513974,-2.29896809080495e-05,4,-0.004184020829468049,122.49969799997052
38912,-8.82267739361668e-06,1.723170381711199e-06,-1.0545847775327881e-05,0.008954258273643939,0.006639300302788282,-2.0795419200640102e-05,4,-0.0037687656545509545,128.6555058999802
40960,-5.752051708487854e-06,1.8729227615444742e-06,-7.624974470032328e-06,0.006796878165507329,0.004946312684481269,-2.2602648217560593e-05,3,-0.004095215636285457,136.03072360000806
43008,-1.8674795765176057e-07,2.5022166131659206e-06,-2.688964570817681e-06,0.007877876063363112,0.002434985489564015,-3.0197039105278774e-05,1,-0.003656996891738635,147.9737745000166
45056,-7.659711254006247e-06,2.517544764019459e-06,-1.0177256018025708e-05,0.008640404480707783,0.0067605509058518715,-3.03820210002516e-05,4,-0.003354263818802687,162.04024269996444
47104,-7.2098732541535924e-06,3.2760476787919428e-06,-1.0485920932945534e-05,0.008644335287716354,0.00655602515253244,-3.953572178632093e-05,4,-0.002954956577975291,174.66654639999615
49152,4.726592740300241e-06,4.123292999485857e-06,6.032997408143844e-07,0.006803204698327898,0.00021012308599331115,-4.976037617720844e-05,0,nan,180.0962043000036
51200,-5.535738854841594e-06,4.401342556875479e-06,-9.937081411717076e-06,0.007959160178758985,0.0070978716178745245,-5.311591035179634e-05,4,-0.0022186995242414,186.35305390000576
53248,-4.692603321206855e-06,4.337362565511768e-06,-9.029965886718625e-06,0.008223022892565351,0.007107457226110145,-5.234379242603415e-05,4,-0.0015266331232634343,192.83542349998606
55296,5.559571945568241e-06,5.7282962904951456e-06,-1.68724344926905e-07,0.00768950771694463,0.0005160921845688217,-6.912974127841233e-05,3,-0.0018430179338202659,198.77500789996702
57344,-2.4748203931635114e-06,6.61390403181336e-06,-9.088724424976874e-06,0.00787136216811668,0.006254953862703675,-7.981735779243092e-05,1,0.001100111349465394,208.78757849999238
59392,-3.6875733800136013e-06,6.605547853867347e-06,-1.0293121233880944e-05,0.0084530742903251,0.006678768678046435,-7.971651447180123e-05,4,-8.129343190060935e-05,222.74590919999173
61440,-2.0634485840617763e-06,7.174986091285031e-06,-9.238434675346808e-06,0.008345687834113014,0.0062921906798735095,-8.658856089370813e-05,4,0.00020918607435317616,236.1935035000206
63488,6.3594618892371345e-06,6.799514352564614e-06,-4.400524633274795e-07,0.009115746040807636,0.0016790175966179262,-8.20573245821076e-05,0,nan,247.38518959999783
65536,-1.99486276803026e-06,7.289387801300324e-06,-9.284250569330583e-06,0.00771369242850321,0.0069854383529751405,-8.796917394409933e-05,4,-7.806015238672339e-05,260.9650129000074
67584,-1.465800866543857e-06,6.63348278081581e-06,-8.099283647359667e-06,0.008148473831408737,0.006309734215623257,-8.005363639682856e-05,4,0.0006961470120442431,271.68117890000576
69632,8.704201464183382e-06,9.465315309045446e-06,-7.611138448620653e-07,0.00767698735942631,0.0005499438454640567,-0.00011422851843725903,0,nan,282.236805499997
71680,-1.0421683126173347e-06,8.730299036281627e-06,-9.772467348898961e-06,0.007976853161510578,0.006986494346810649,-0.00010535825715976605,4,0.0016527270224900984,295.599352499994
73728,-4.0731745264405854e-07,8.637365557586565e-06,-9.044683010230623e-06,0.008451950043072663,0.0061943103296233796,-0.0001042367252046274,4,0.001639681185478207,308.9789201999665
75776,6.167616308525751e-06,1.0574396598090481e-05,-4.406780289564732e-06,0.0076196343723773634,0.002942133935243063,-0.00012761303953747328,2,0.004041864619369451,321.1346877000178
77824,3.5893109752147565e-06,9.098198604893917e-06,-5.508887629679159e-06,0.008201228456620083,0.003994329138055302,-0.000109798111647881,2,0.0006188493494055666,333.524295500014
79872,6.155969599781801e-07,9.697239654869202e-06,-9.081642694891022e-06,0.00886816264428883,0.007289566462345017,-0.00011702740823099477,4,0.0017034451137969953,346.7265049999696
81920,5.296750810916692e-08,9.432784306209388e-06,-9.379816798100225e-06,0.008621445888314115,0.007243659393217119,-0.00011383593053755219,4,0.0018152833661161255,359.6949624000117
83968,8.78327362393087e-06,9.100195187890086e-06,-3.1692156395921835e-07,0.007893034558225803,0.0003504198668640643,-0.00010982220664209334,0,nan,371.7451486000209
86016,-8.209901161780925e-07,8.013036051369236e-06,-8.834026167547328e-06,0.008608904433855306,0.007330964388633092,-9.670224461065096e-05,4,0.001875734773027971,385.2098168999655
88064,-1.6181436371899577e-06,7.5629903318949335e-06,-9.181133969084892e-06,0.007960318153845703,0.0075347739709689925,-9.127104088567286e-05,4,0.001392184198741387,397.9595616000006
90112,1.0540231971562189e-05,1.0528186927791718e-05,1.2045043770472362e-08,0.008697258932348748,0.0007088881363292706,-0.00012705537589887715,0,nan,409.0159516999847
92160,1.7977263070894717e-06,1.033295904699641e-05,-8.535232739906939e-06,0.008016985627010816,0.006498215512477226,-0.00012469934328371616,4,0.002124757074334931,423.14711499999976
94208,7.968081841604778e-07,1.068950917266729e-05,-9.892700988506809e-06,0.008260874805748096,0.007410929102713225,-0.000129002231383501,4,0.003279972415492449,439.68048759998055
96256,1.0116924742968321e-06,1.045640797298761e-05,-9.444715498690777e-06,0.007779025684789529,0.005650168699103706,-0.00012618913918149987,4,0.0029019732558003544,455.614521600015
98304,1.2462588103371498e-05,1.2108213648561806e-05,3.5437445480969253e-07,0.008132724399102413,0.0012179614213004765,-0.00014612332086552497,0,nan,470.3785429999698
100352,4.188131335992744e-06,1.2817743846985326e-05,-8.629612510992579e-06,0.009491115387114692,0.007321594962333708,-0.00015468601325411977,4,0.0040137985787909725,486.5136138999951
102400,1.0550084967831205e-06,1.0276885813355519e-05,-9.221877316572399e-06,0.007954120998074455,0.0068422101219638145,-0.00012402264502342004,4,0.004433380489553908,503.2062086999649
104448,1.2034132746441828e-05,1.1816129207399544e-05,2.180035390422841e-07,0.008781477450363884,0.0007361915280438353,-0.00014259841209247486,0,nan,517.1968133000191
106496,3.0471664232037623e-06,1.2444398417788383e-05,-9.397231994584616e-06,0.008494957164280018,0.007037270276218696,-0.00015018043749144712,4,0.003933504658240974,527.4996909999754
108544,3.331127176607732e-06,1.1683209728897789e-05,-8.352082552290057e-06,0.008380380717624543,0.007018652339971192,-0.00014099432447310114,4,0.003964603852914135,541.0389905999764
110592,1.3872765144602562e-05,1.4376217653605008e-05,-5.034525090024452e-07,0.008795157678054454,0.0002513076222923383,-0.00017349385516333922,1,0.004316151829665784,552.7075286000036
112640,3.7117120413200916e-06,1.2189333889158895e-05,-8.477621847838803e-06,0.008677740901250501,0.006779248810972885,-0.00014710228929881367,3,0.005354091231752109,565.6818312999676
114688,4.041593139741659e-06,1.2630406563293854e-05,-8.588813423552195e-06,0.007936505004773331,0.006316314851790138,-0.0001524252052762083,4,0.004297420020399271,579.5814040999976
116736,6.591835157245648e-06,1.1450618191487315e-05,-4.858783034241665e-06,0.006854876192902471,0.003808161390654103,-0.00013818738293423316,3,0.0043157509644761935,592.5070247999975
