cell_label,class_label,kind_label,rows_all,rows_dropped,pct_rows_dropped,work_all_ncu_h,work_dropped_ncu_h,pct_work_dropped,pct_work_in_lt60s,pct_work_in_60_299s,rows_nonpositive_dur,rows_longer_than_300s,pct_kept_work_off_grid
ALL,ALL,ALL,26451818648,8055883627,30.45,12348319.0,798788.0,6.469,0.463,6.006,0,0,0.0
a,ALL,ALL,6748039448,1551430461,22.99,3028595.0,175985.0,5.811,0.408,5.402,0,0,0.0
a,batch,ALL,1728892589,789889631,45.69,554510.0,80456.0,14.509,0.791,13.718,0,0,0.0
a,batch,alloc_instance,235041710,154286459,65.64,204591.0,48752.0,23.829,0.474,23.355,0,0,0.0
a,batch,job_task,1493850879,635603172,42.55,349920.0,31704.0,9.06,0.976,8.084,0,0,0.0
a,service,ALL,2838127567,261844155,9.23,1637385.0,38085.0,2.326,0.231,2.095,0,0,0.0
a,service,alloc_instance,243982962,2191980,0.9,309627.0,535.0,0.173,0.009,0.164,0,0,0.0
a,service,job_task,2594144605,259652175,10.01,1327758.0,37550.0,2.828,0.282,2.546,0,0,0.0
a,service_unmatched,ALL,2181019292,499696675,22.91,836700.0,57444.0,6.866,0.503,6.363,0,0,0.0
a,service_unmatched,alloc_instance,41736480,31678216,75.9,18336.0,7763.0,42.337,0.675,41.662,0,0,0.0
a,service_unmatched,job_task,2139282812,468018459,21.88,818364.0,49681.0,6.071,0.499,5.572,0,0,0.0
b,ALL,ALL,5618934244,1398235804,24.88,3147223.0,115272.0,3.663,0.26,3.403,0,0,0.0
b,batch,ALL,2183008235,917181674,42.01,538217.0,61349.0,11.398,0.883,10.516,0,0,0.0
b,batch,alloc_instance,98887107,53643364,54.25,105090.0,13190.0,12.551,0.299,12.251,0,0,0.0
b,batch,job_task,2084121128,863538310,41.43,433127.0,48159.0,11.119,1.024,10.094,0,0,0.0
b,service,ALL,1876658448,56857014,3.03,2126193.0,8054.0,0.379,0.023,0.356,0,0,0.0
b,service,alloc_instance,877958016,6231791,0.71,1386194.0,1918.0,0.138,0.007,0.131,0,0,0.0
b,service,job_task,998700432,50625223,5.07,739999.0,6137.0,0.829,0.051,0.778,0,0,0.0
b,service_unmatched,ALL,1559267561,424197116,27.2,482813.0,45870.0,9.501,0.609,8.892,0,0,0.0
b,service_unmatched,alloc_instance,5518447,1127722,20.44,3294.0,335.0,10.158,0.427,9.731,0,0,0.0
b,service_unmatched,job_task,1553749114,423069394,27.23,479519.0,45535.0,9.496,0.61,8.886,0,0,0.0
c,ALL,ALL,7435845797,3114929573,41.89,3433395.0,331925.0,9.668,0.71,8.958,0,0,0.0
c,batch,ALL,2981177738,1531091310,51.36,816659.0,124169.0,15.205,1.475,13.729,0,0,0.0
c,batch,alloc_instance,254770652,122401456,48.04,165952.0,27073.0,16.314,0.451,15.863,0,0,0.0
c,batch,job_task,2726407086,1408689854,51.67,650707.0,97096.0,14.922,1.737,13.185,0,0,0.0
c,service,ALL,1820126810,219167454,12.04,1384725.0,20886.0,1.508,0.108,1.4,0,0,0.0
c,service,alloc_instance,453128040,2594489,0.57,529835.0,686.0,0.129,0.008,0.122,0,0,0.0
c,service,job_task,1366998770,216572965,15.84,854890.0,20200.0,2.363,0.17,2.193,0,0,0.0
c,service_unmatched,ALL,2634541249,1364670809,51.8,1232011.0,186870.0,15.168,0.879,14.289,0,0,0.0
c,service_unmatched,alloc_instance,1566721,55156,3.52,226.0,2.0,0.844,0.032,0.811,0,0,0.0
c,service_unmatched,job_task,2632974528,1364615653,51.83,1231786.0,186868.0,15.171,0.879,14.292,0,0,0.0
d,ALL,ALL,6648999159,1991287789,29.95,2739106.0,175606.0,6.411,0.447,5.964,0,0,0.0
d,batch,ALL,2476378231,1093025396,44.14,760181.0,84090.0,11.062,0.811,10.251,0,0,0.0
d,batch,alloc_instance,232805888,100995531,43.38,153733.0,21009.0,13.666,0.369,13.297,0,0,0.0
d,batch,job_task,2243572343,992029865,44.22,606448.0,63081.0,10.402,0.922,9.479,0,0,0.0
d,service,ALL,2854559237,183436878,6.43,1591849.0,21095.0,1.325,0.086,1.239,0,0,0.0
d,service,alloc_instance,805428249,2783320,0.35,506017.0,436.0,0.086,0.005,0.081,0,0,0.0
d,service,job_task,2049130988,180653558,8.82,1085832.0,20659.0,1.903,0.124,1.779,0,0,0.0
d,service_unmatched,ALL,1318061691,714825515,54.23,387076.0,70421.0,18.193,1.22,16.973,0,0,0.0
d,service_unmatched,alloc_instance,369375,31975,8.66,63.0,1.0,1.686,0.058,1.628,0,0,0.0
d,service_unmatched,job_task,1317692316,714793540,54.25,387013.0,70420.0,18.196,1.22,16.975,0,0,0.0
