cell,class,n_hours,pct_work_dropped,dropped_pct_p05,dropped_pct_p50,dropped_pct_p95,dropped_pct_max,corr_level,corr_1h_ramp,rel_ramp_kept,rel_ramp_all,peak_to_mean_kept,peak_to_mean_all,peak_hour_kept,peak_hour_all
a,batch,743,14.531,6.03,15.035,25.845,36.422,0.99239,0.98131,0.18091,0.17819,2.3762,2.3443,671,671
a,service,743,3.862,2.233,3.752,6.081,10.767,0.9982,0.9902,0.05356,0.05322,1.4301,1.4047,371,371
a,total,743,5.813,3.103,5.648,9.71,13.46,0.97633,0.9689,0.04071,0.03919,1.2144,1.1735,371,295
b,batch,743,11.396,4.454,11.486,21.213,28.3,0.98965,0.9772,0.16364,0.1485,2.2322,2.1883,67,67
b,service,743,2.068,0.993,1.955,3.372,8.658,0.99669,0.98011,0.02797,0.02923,1.3611,1.3636,279,279
b,total,743,3.662,2.009,3.526,5.638,10.9,0.98789,0.96512,0.03114,0.03022,1.2177,1.1975,281,281
c,batch,743,15.205,6.112,14.769,28.635,44.741,0.97551,0.92106,0.13716,0.12984,2.1644,2.1349,497,182
c,service,743,7.939,5.401,7.521,11.529,17.085,0.96156,0.94405,0.04971,0.04992,1.248,1.2626,722,727
c,total,743,9.667,6.39,9.33,14.346,21.872,0.95652,0.8793,0.03748,0.03653,1.2221,1.237,589,735
d,batch,743,11.071,4.115,10.93,20.937,37.387,0.98646,0.96155,0.11411,0.10167,1.9059,1.8933,739,595
d,service,743,4.627,2.504,4.268,7.675,12.688,0.98994,0.95595,0.03634,0.04011,1.3166,1.3835,222,223
d,total,743,6.416,3.305,6.134,10.196,14.169,0.97157,0.9027,0.03131,0.02986,1.1736,1.1765,9,12
